chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
забꙑти|забыти|V-|zabyti|pref_byti
колѣно|колѣно|Nb|kolěno|nt_o
готовъ|готовыи|A-|gotovъ|adj_hard
рана|рана|Nb|rana|fem_a
тварь|тварь|Nb|tvarь|fem_i
мꙑтарь|мытарь|Nb|mytaŕь|masc_ar
десница|десница|Nb|desnika|fem_a_PV3
сьребро|сьребро|Nb|sьrebro|nt_o
възвести|възвести|V-|vъzvesti|11
богатьство|богатьство|Nb|bogatьstvo|nt_o
старѣишина|старѣишина|Nb|starějьšina|masc_a
съкровище|съкровище|Nb|sъkrovišče|nt_jo
сърѣсти|сърѣсти|V-|sъrěsti|rěsti
съмѧсти|съмясти|V-|sъmęsti|11
сквозѣ|сквозѣ|R-|skvozě|
талантъ|талантъ|Nb|talanъtъ|masc_o
область|оболость|Nb|obvolstь|fem_i
въскрѣшениѥ|въскрѣшение|Nb|vъskrěšenьje|nt_jo
