id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
4280,тъ,Pp,тъ,1,,,,,psal-sin_pipe_removed,,,,,16
4281,окрѫжениѥ,Nb,окрѫженіе,1,,,,,psal-sin_pipe_removed,,,,,16
4282,оустатъ,A-,оустатъ,1,,,,,psal-sin_pipe_removed,,,,,16
4283,въздѣꙗниѥ,Nb,въздѣѣніе,1,,,,,psal-sin_pipe_removed,,,,,16
4284,вечерьнии,A-,вечерьніі,1,,,,,psal-sin_pipe_removed,,,,,16
4285,хранѥниѥ,Nb,храненіе,1,,,,,psal-sin_pipe_removed,,,,,16
4286,намастити,V-,намастіті,1,,,,,psal-sin_pipe_removed,,,,,16
4287,тлъща,Nb,тлъшта,1,,,,,psal-sin_pipe_removed,,,,,16
4288,расоути,V-,расоуті,1,,,,,psal-sin_pipe_removed,,,,,16
4289,съцѣглъ,A-,съцѣглъ,1,,,,,psal-sin_pipe_removed,,,,,16
4290,възглѧдати,V-,възглѧдаті,1,,,,,psal-sin_pipe_removed,,,,,16
4291,гонѣти,V-,гонѣті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4292,прибѣгнѫти,V-,прібѣгнѫті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4293,голиадъ,Ne,голіадъ,3,,,,,psal-sin_pipe_removed,,vit-const,,,80
4294,оплъчениѥ,Nb,оплъченіе,1,,,,,psal-sin_pipe_removed,,,,,16
4295,бльснѫти,V-,бльснѫті,1,,,,,psal-sin_pipe_removed,,,,,16
4296,оукоущениѥ,Nb,оукоуштеніе,1,,,,,psal-sin_pipe_removed,,,,,16
4297,хранильница,Nb,хранільніца,1,,,,,psal-sin_pipe_removed,,,,,16
4298,мъногоплодьнъ,A-,мъногоплодьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4299,тлъстъ,A-,тлъстъ,1,,,,,psal-sin_pipe_removed,,,,,16
4300,цѣста,Nb,цѣста,1,,,,,psal-sin_pipe_removed,,,,,16
