сапогоу,сапогоу
не,не
троудисте,троудісте
сѧ,сѧ
ꙇни,іні
троудишѧ,троудішѧ
сѧ,сѧ
ꙇ,і
вꙑ,въі
въ,въ
троудъ,троудъ
ꙇхъ,іхъ
вьнидете,вьнідете
отъ,отъ
града,града
же,же
того,того
мънози,мънозі
вѣровашѧ,вѣровашѧ
вь,вь
н҄его,него
отъ,отъ
самарѣнъ,самарѣнъ
за,за
слово,слово
женѣ,женѣ
съвѣдѣтел҄ьствоуѭшти,съвѣдѣтельствоуѭшті
ѣко,ѣко
рече,рече
ми,мі
вьсѣ,вьсѣ
елико,еліко
сътворихъ,сътворіхъ
егда,егда
же,же
придѫ,прідѫ
къ,къ
н҄емоу,немоу
самарѣне,самарѣне
мол҄ѣахѫ,молѣахѫ
і,і
да,да
би,бі
прѣбꙑлъ,прѣбъілъ
оу,оу
н҄ихъ,ніхъ
ꙇ,і
прѣбꙑстъ,прѣбъістъ
тоу,тоу
дъва,дъва
дьни,дьні
ꙇ,і
мъного,мъного
паче,паче
вѣровашѧ,вѣровашѧ
за,за
слово,слово
его,его
женѣ,женѣ
г҃лаахѫ,глаахѫ
ѣко,ѣко
юже,юже
не,не
за,за
твоѭ,твоѭ
бесѣдѫ,бесѣдѫ
вѣроуемъ,вѣроуемъ
сами,самі
бо,бо
слꙑшахомъ,слъішахомъ
ꙇ,і
вѣмъ,вѣмъ
ѣко,ѣко
сь,сь
естъ,естъ
въ,въ
ꙇстинѫ,істінѫ
с҃пъ,спъ
мира,міра
х҃ъ,хъ
По,по
дъвою,дъвою
же,же
дъноу,дъноу
ꙇзиде,ізіде
отътѫдоу,отътѫдоу
ꙇ,і
иде,іде
въ,въ
галилеѭ,галілеѭ
самъ,самъ
бо,бо
ꙇ҃с,іс
съвѣдѣтел҄ьствова,съвѣдѣтельствова
ѣко,ѣко
пророкъ,пророкъ
въ,въ
своемь,своемь
отьчьстви,отьчьстві
не,не
ꙇматъ,іматъ
чисти,чісті
Егда,егда
же,же
приде,пріде
въ,въ
галилеѭ,галілеѭ
приѩшѧ,пріѧшѧ
і,і
галилѣане,галілѣане
вьсѣ,вьсѣ
видѣвъше,відѣвъше
елико,еліко
сътвори,сътворі
въ,въ
е҃рмѣхъ,ермѣхъ
въ,въ
праздьникъ,праздьнікъ
приде,пріде
же,же
пакꙑ,пакъі
въ,въ
кана,кана
галилеѭ,галілеѭ
ꙇдеже,ідеже
сътвори,сътворі
отъ,отъ
