sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
246992|ѹчаше|učǢaše|257|учити
247026|ѿпѹстѧаше|otъpušћǢaše|408|отъпустити
247090|молѧше|modĺǢaše|118|молити
247251|къръмлꙗше|kr̥mĺǢaše|537|кърмити
247263|наводѧше|navoђǢaše|1764|наводити
247370|молѧше|modĺǢaše|118|молити
247552|ѹчаше|učǢaše|257|учити
247613|жалѧаше|žǢĺǢaše|1951|жалити
247619|тѹжаше|tǫžǢaše|1479|тужити
247715|ношаше|nošǢaše|496|носити
248087|творѧаше|tvoŕǢaše|101|творити
249606|молѧше|modĺǢaše|118|молити
250156|съмотрѧхȣ|sъmoћŕǢaxǫ|521|съмотрити
250182|носѧхѹ|nošǢaxǫ|496|носити
250342|исхожааше|jьsxoђǢaše|603|исходити
250399|ѿходѧаше|otъxoђǢaše|697|отъходити
250442|излазѧаше|jьzlažǢaše|1941|излазити
251013|молѧахѹ|modĺǢaxǫ|118|молити
251036|молѧхѹть|modĺǢaxǫ|118|молити
251460|приходѧше|prixoђǢaše|244|приходити
251479|исходѧахѹть|jьsxoђǢaxǫ|603|исходити
251490|хожаше|xoђǢaše|129|ходити
251602|приставѧше|pristavĺǢaše|1084|приставити
251620|възвѣстѧхѹть|vъzvěšћǢaxǫ|806|възвѣстити
252483|чьстѧхѹ|čьšћǢaxǫ|2048|чьстити
252535|ходѧше|xoђǢaše|129|ходити
252613|ѹчааше|učǢaše|257|учити
253043|ѹчааше|učǢaše|257|учити
253422|слѹжааше|služǢaše|512|служити
253427|съмотрѧше|sъmoћŕǢaše|521|съмотрити
253438|молѧше|modĺǢaše|118|молити
253961|молѧше|modĺǢaše|118|молити
254181|молѧше|modĺǢaše|118|молити
254310|молѧше|modĺǢaše|118|молити
257325|молвяше|ml̥vĺǢaše|427|мълвити
257687|мовяш|ml̥vĺǢaše|427|мълвити
257780|молвяше|ml̥vĺǢaše|427|мълвити
