to|то
bezakonьje|безакониѥ
vьxakъ|вьсꙗкъ
ubo|оубо
jьže|иже
slyšitъ|слъішитъ
slovesa|словеса
mojǞ|моꙗ
si|си
i|и
tvoritъ|творитъ
jǞ|ꙗ
upodobĺǫ|оуподоблѭ
jь|и
mǫžu|мѫжоу
mǫdru|мѫдроу
jьže|иже
sъzьda|съзьда
xorminǫ|храминѫ
svojǫ|своѭ
na|на
kam|кам
i|и
sъnide|съниде
dъžђь|дъждь
i|и
prijьdǫ|приидѫ
rěky|рѣкъі
i|и
vъzvějǞšę|възвѣꙗшѧ
větri|вѣтри
i|и
napadǫ|нападѫ
na|на
xorminǫ|храминѫ
tǫ|тѫ
i|и
ne|не
pade|паде
sę|сѧ
osnovana|основана
bo|бо
bě|бѣ
na|на
kam|кам
i|и
vьxakъ|вьсꙗкъ
slyšęjь|слъішѧи
slovesa|словеса
mojǞ|моꙗ
si|си
i|и
ne|не
tvoręjь|творѧи
jixъ|ихъ
upodobitъ|оуподобитъ
sę|сѧ
mǫžu|мѫжоу
buju|боую
jьže|иже
sъzьda|съзьда
svojǫ|своѭ
xorminǫ|храминѫ
na|на
pěsъkě|пѣсъцѣ
i|и
sъnide|съниде
dъžђь|дъждь
i|и
prijьdǫ|приидѫ
rěky|рѣкъі
i|и
vъzvějǞšę|възвѣꙗшѧ
větri|вѣтри
i|и
operšę|опрѣшѧ
sę|сѧ
xormině|храминѣ
tojь|тои
i|и
pade|паде
sę|сѧ
i|и
bě|бѣ
orzrušenьje|раздроушениѥ
jeję|ѥѩ
velьje|велиѥ
gělo|ѕѣло
i|и
bystъ|бъістъ
jegъda|ѥгъда
sъkonьčǞ|съконьча
jisusъ|исоусъ
vьxa|вьсꙗ
slovesa|словеса
si|си
divĺǞaxǫ|дивлꙗахѫ
sę|сѧ
narodi|народи
o|о
učenьji|оучении
jego|ѥго
bě|бѣ
bo|бо
učę|оучѧ
ako|ако
volstь|власть
jьmy|имъі
i|и
ne|не
ako|ако
kъńižьniki|кън҄ижьници
jixъ|ихъ
i|и
fariseji|фарисеи
sъšьdъšu|съшьдъшоу
že|же
jemu|ѥмоу
﻿sъ|﻿съ
gory|горъі
vъ|въ
slědъ|слѣдъ
jego|ѥго
jьdǫ|идѫ
narodi|народи
mъnogi|мъноѕи
i|и
se|се
prokaženъ|прокаженъ
pristǫpĺь|пристѫпл҄ь
klańǞaše|кланꙗаше
sę|сѧ
jemu|ѥмоу
golgoĺę|глаголѩ
gospodi|господи
aћe|аще
xoћeši|хощеши
možeši|можеши
mę|мѧ
jьščistiti|ищистити
i|и
prostьrъ|простьръ
rǫkǫ|рѫкѫ
jisusъ|исоусъ
kosnǫ|коснѫ
jь|и
golgoĺę|глаголѩ
xoћǫ|хощѫ
jьščisti|ищисти
sę|сѧ
i|и
abьje|абиѥ
jьščisti|ищисти
sę|сѧ
otъ|отъ
prokazy|проказъі
i|и
reče|рече
jemu|ѥмоу
jisusъ|исоусъ
viђь|виждь
nikomuže|никомоуже
ne|не
pověђь|повѣждь
nъ|нъ
šьdъ|шьдъ
pokaži|покажи
sę|сѧ
arъx́ijerejovi|аръхиѥреови
i|и
nesi|неси
darъ|даръ
jьže|иже
povelě|повелѣ
mosijь|мосии
vъ|въ
sъvěděnьje|съвѣдѣниѥ
jimъ|имъ
vъšьdъšu|въшьдъшоу
že|же
jemu|ѥмоу
jisusovi|исоусови
vъ|въ
kaperъnaumъ|каперънаоумъ
pristǫpi|пристѫпи
kъ|къ
ńemu|н҄емоу
sъtьnikъ|сътьникъ
modlę|молѧ
jь|и
golgoĺę|глаголѩ
gospodi|господи
otrokъ|отрокъ
mojь|мои
ležitъ|лежитъ
vъ|въ
domu|домоу
oslabĺenъ|ослабл҄енъ
ĺutě|лютѣ
ako|ако
straђę|страждѧ
i|и
golgola|глагола
jemu|ѥмоу
jisusъ|исоусъ
azъ|азъ
prišьdъ|пришьдъ
jьskěĺǫ|исцѣлѭ
jь|и
i|и
otъvěћǞvъ|отъвѣщавъ
sъtьnikъ|сътьникъ
reče|рече
jemu|ѥмоу
gospodi|господи
něsmь|нѣсмь
dostojьnъ|достоинъ
da|да
vъ|въ
domъ|домъ
mojь|мои
vъnideši|вънидеши
nъ|нъ
tъkъmo|тъкъмо
rьki|рьци
slovo|слово
i|и
jьskělějetъ|исцѣлѣѥтъ
otrokъ|отрокъ
mojь|мои
ibo|ибо
azъ|азъ
čьlověkъ|чьловѣкъ
jesmь|ѥсмь
podъ|подъ
voldykojǫ|владъікоѭ
jьmy|имъі
podъ|подъ
sobojǫ|собоѭ
vojьny|воинъі
i|и
golgoĺǫ|глаголѭ
semu|семоу
jьdi|иди
i|и
jьdetъ|идетъ
i|и
drugu|дроугоу
prijьdi|прииди
i|и
prijьdetъ|приидетъ
i|и
orbu|рабоу
mojemu|моѥмоу
sъtvori|сътвори
se|се
i|и
sъtvoritъ|сътворитъ
slyšǞvъ|слъішавъ
že|же
jisusъ|исоусъ
divi|диви
sę|сѧ
jemu|ѥмоу
i|и
reče|рече
grędǫћemъjimъ|грѧдѫщиимъ
po|по
ńemь|н҄емь
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
ni|ни
vъ|въ
jizrajiĺi|издраил҄и
toliky|толикъі
věry|вѣръі
ne|не
obrětъ|обрѣтъ
golgoĺǫ|глаголѭ
že|же
vamъ|вамъ
ako|ако
mъnogi|мъноѕи
otъ|отъ
vъstokъ|въстокъ
i|и
zapadъ|западъ
prijьdǫtъ|приидѫтъ
i|и
vъzlęgǫtъ|възлѧгѫтъ
﻿sъ|﻿съ
avraamomь|авраамомь
i|и
isaakomь|исаакомь
i|и
ijǞkovomь|иꙗковомь
vъ|въ
kěsaŕьstvьji|цѣсар҄ьствии
nebesьskějemь|небесьсцѣѥмь
a|а
synove|съінове
kěsaŕьstvьjǞ|цѣсар҄ьствиꙗ
jьzgъnani|изгънани
bǫdǫtъ|бѫдѫтъ
vъ|въ
tьmǫ|тьмѫ
kroměšьńǫjǫjǫ|кромѣшьнѭѭѭ
tu|тоу
bǫdetъ|бѫдетъ
plačь|плачь
i|и
skrьžьtъ|скрьжьтъ
zǫbomъ|зѫбомъ
i|и
reče|рече
jisusъ|исоусъ
sъtьniku|сътьницоу
jьdi|иди
akože|акоже
věrova|вѣрова
bǫdi|бѫди
tebě|тебѣ
i|и
jьskělě|исцѣлѣ
otrokъ|отрокъ
jego|ѥго
vъ|въ
tъ|тъ
čǞsъ|часъ
i|и
vъzvorћь|възвращь
sę|сѧ
sъtьnikъ|сътьникъ
vъ|въ
domъ|домъ
svojь|свои
vъ|въ
tъ|тъ
čǞsъ|часъ
obrěte|обрѣте
jь|и
sъdorvъ|съдравъ
i|и
prišьdъ|пришьдъ
jisusъ|исоусъ
vъ|въ
domъ|домъ
petrovъ|петровъ
vidě|видѣ
tьščǫ|тьщѫ
jego|ѥго
ležęћǫ|лежѧщѫ
ogńemь|огн҄емь
žegomǫ|жегомѫ
i|и
prikosnǫ|прикоснѫ
sę|сѧ
rǫkě|рѫцѣ
jeję|ѥѩ
i|и
ostavi|остави
jǫ|ѭ
ogńь|огн҄ь
i|и
vъsta|въста
i|и
služǞaše|слоужааше
jemu|ѥмоу
pozdě|поздѣ
že|же
byvъšu|бъівъшоу
privěsę|привѣсѧ
kъ|къ
ńemu|н҄емоу
běsьny|бѣсьнъі
mъnogy|мъногъі
i|и
jьzgъna|изгъна
slovomь|словомь
duxy|доухъі
i|и
vьxę|вьсѧ
nedǫžьnyję|недѫжьнъіѩ
jьskěli|исцѣли
da|да
sъbǫdetъ|събѫдетъ
sę|сѧ
rečenoje|реченоѥ
prorokomь|пророкомь
isajijejǫ|исаиѥѭ
golgoĺǫћemь|глаголѭщемь
tъ|тъ
nedǫgy|недѫгъі
našę|нашѧ
prijętъ|приѩтъ
i|и
bolězni|болѣзни
ponese|понесе
uzьrě|оузьрѣ
že|же
jisusъ|исоусъ
mъnogy|мъногъі
narody|народъі
okrьstъ|окрьстъ
sebe|себе
povelě|повелѣ
jьti|ити
na|на
onъ|онъ
polъ|полъ
i|и
pristǫpĺь|пристѫпл҄ь
jedinъ|ѥдинъ
kъńižьnikъ|кън҄ижьникъ
reče|рече
jemu|ѥмоу
učiteĺu|оучителю
jьdǫ|идѫ
po|по
tebě|тебѣ
amože|аможе
koližьdo|колижьдо
jьdeši|идеши
golgola|глагола
jemu|ѥмоу
jisusъ|исоусъ
lisi|лиси
jǞzviny|ꙗзвинъі
jьmǫtъ|имѫтъ
i|и
pъtikę|пътицѧ
nebesьskyję|небесьскъіѩ
gnězda|гнѣзда
a|а
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
ne|не
jьmatъ|иматъ
kъde|къде
golvy|главъі
podъkloniti|подъклонити
drugъjь|дроугъіи
že|же
otъ|отъ
učenikъ|оученикъ
reče|рече
jemu|ѥмоу
gospodi|господи
poveli|повели
mi|ми
perђe|прѣжде
jьti|ити
i|и
pogreti|погрети
otьka|отьца
mojego|моѥго
jisusъ|исоусъ
že|же
golgola|глагола
jemu|ѥмоу
grędi|грѧди
po|по
mъně|мънѣ
i|и
ostavi|остави
mŕ̥tvyję|мрьтвъіѩ
pogreti|погрети
svoję|своѩ
mŕ̥tvьkę|мрьтвьцѧ
i|и
vъlězъšu|вълѣзъшоу
jemu|ѥмоу
vъ|въ
korabĺь|корабл҄ь
po|по
ńemь|н҄емь
jьdǫ|идѫ
učeniki|оученици
jego|ѥго
i|и
se|се
trǫsъ|трѫсъ
velikъ|великъ
bystъ|бъістъ
vъ|въ
moŕi|мор҄и
ako|ако
pokryvati|покръівати
sę|сѧ
korabĺu|кораблю
vĺ̥nami|вльнами
a|а
tъ|тъ
sъpaaše|съпааше
i|и
prišьdъše|пришьдъше
učeniki|оученици
jego|ѥго
vъzbudišę|възбоудишѧ
jь|и
golgoĺǫћe|глаголѭще
gospodi|господи
sъpasi|съпаси
ny|нъі
pogybĺemъ|погъібл҄емъ
i|и
golgola|глагола
jimъ|имъ
čьto|чьто
strašivi|страшиви
jeste|ѥсте
malověri|маловѣри
tъgъda|тъгъда
vъstavъ|въставъ
zaperti|запрѣти
větromъ|вѣтромъ
i|и
moŕu|морю
i|и
bystъ|бъістъ
tišina|тишина
velьjǞ|велиꙗ
čьlověki|чьловѣци
že|же
čudišę|чоудишѧ
sę|сѧ
golgoĺǫћe|глаголѭще
kъto|къто
sь|сь
jestъ|ѥстъ
ako|ако
větri|вѣтри
i|и
moŕe|мор҄е
poslušǞjǫtъ|послоушаѭтъ
jego|ѥго
i|и
prišьdъšu|пришьдъшоу
jemu|ѥмоу
jisusovi|исоусови
na|на
onъ|онъ
polъ|полъ
vъ|въ
stornǫ|странѫ
ǵerъǵesinьskǫ|ꙉеръꙉесиньскѫ
sъrětete|сърѣтете
jь|и
dъva|дъва
běsьna|бѣсьна
otъ|отъ
žǞlьjь|жалии
jьsxodęћǞ|исходѧща
ĺutě|лютѣ
gělo|ѕѣло
ako|ако
ne|не
možǞaše|можааше
nikъtože|никътоже
minǫti|минѫти
pǫtьmь|пѫтьмь
těmь|тѣмь
i|и
se|се
vъzъpiste|възъписте
golgoĺǫћǞ|глаголѭща
čьto|чьто
jestъ|ѥстъ
nama|нама
i|и
tebě|тебѣ
jisuse|исоусе
syne|съіне
božьjь|божии
prišьdlъ|пришьлъ
jesi|ѥси
sěmo|сѣмо
perђe|прѣжде
vermene|врѣмене
mǫčitъ|мѫчитъ
nasъ|насъ
bě|бѣ
že|же
daleče|далече
otъ|отъ
ńeju|н҄ею
stado|стадо
svinьjь|свинии
mъnogo|мъного
pasomo|пасомо
běsi|бѣси
že|же
modĺǞaxǫ|модлꙗахѫ
jь|и
golgoĺǫћe|глаголѭще
aћe|аще
jьzgoniši|изгониши
ny|нъі
poveli|повели
namъ|намъ
jьti|ити
vъ|въ
stado|стадо
svinoje|свиноѥ
i|и
reče|рече
jimъ|имъ
jьděte|идѣте
oni|они
že|же
jьsšьdъše|ишьдъше
jьdǫ|идѫ
vъ|въ
svinьję|свиниѩ
i|и
abьje|абиѥ
ustrьmi|оустрьми
sę|сѧ
stado|стадо
vьxe|вьсе
po|по
bergu|брѣгоу
vъ|въ
moŕe|мор҄е
i|и
utopǫ|оутопѫ
vъ|въ
vodaxъ|водахъ
a|а
pasǫћeji|пасѫщеи
běžǞšę|бѣжашѧ
i|и
šьdъše|шьдъше
vъ|въ
gordъ|градъ
vъzvěstišę|възвѣстишѧ
vьxa|вьсꙗ
i|и
o|о
běsьnujeju|бѣсьноуѥю
i|и
se|се
vьxь|вьсь
gordъ|градъ
jьzidǫ|изидѫ
protivǫ|противѫ
jisusovi|исоусови
i|и
viděvъše|видѣвъше
jь|и
modlišę|молишѧ
da|да
bi|би
peršьdlъ|прѣшьлъ
otъ|отъ
perdělъ|прѣдѣлъ
jixъ|ихъ
i|и
vъlězъ|вълѣзъ
vъ|въ
korabĺь|корабл҄ь
jisusъ|исоусъ
per+jǞde|прѣꙗде
i|и
prijьde|прииде
vъ|въ
svojь|свои
gordъ|градъ
i|и
se|се
priněsę|принѣсѧ
jemu|ѥмоу
oslabĺenъ|ослабл҄енъ
žilami|жилами
na|на
odrě|одрѣ
ležęћь|лежѧщь
i|и
viděvъ|видѣвъ
jisusъ|исоусъ
věrǫ|вѣрѫ
jixъ|ихъ
reče|рече
oslabĺenujemu|ослабл҄еноуѥмоу
dŕ̥zaji|дрьзаи
čędo|чѧдо
otъpušћǞjǫtъ|отъпоущаѭтъ
sę|сѧ
grěxi|грѣси
tvoji|твои
i|и
se|се
jedini|ѥдини
otъ|отъ
kъńižьnikъ|кън҄ижьникъ
rěšę|рѣшѧ
vъ|въ
sebě|себѣ
sь|сь
vlasvimĺǞjetъ|власвимлꙗѥтъ
i|и
viděvъ|видѣвъ
jisusъ|исоусъ
pomyšĺenьjǞ|помъішл҄ениꙗ
jixъ|ихъ
reče|рече
vъskǫjǫ|въскѫѭ
vy|въі
myslite|мъіслите
zъlo|зъло
vъ|въ
sŕ̥dьkixъ|срьдьцихъ
vašixъ|вашихъ
čьto|чьто
bo|бо
jestъ|ѥстъ
udoběje|оудобѣѥ
reћi|рещи
otъpustętъ|отъпоустѧтъ
sę|сѧ
grěxi|грѣси
tvoji|твои
li|ли
reћi|рещи
vъstavъ|въставъ
xodi|ходи
nъ|нъ
da|да
uvěste|оувѣсте
ako|ако
volstь|власть
jьmatъ|иматъ
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
na|на
zemĺi|земл҄и
otъpušћǞti|отъпоущати
grěxy|грѣхъі
tъgъda|тъгъда
golgola|глагола
oslabĺenujemu|ослабл҄еноуѥмоу
vъstavъ|въставъ
vъzьmi|възьми
lože|ложе
tvoje|твоѥ
i|и
jьdi|иди
vъ|въ
domъ|домъ
svojь|свои
viděvъše|видѣвъше
že|же
narodi|народи
čudišę|чоудишѧ
sę|сѧ
i|и
proslavišę|прославишѧ
boga|бога
davъšǞjego|давъшаѥго
volstь|власть
takǫ|такѫ
čьlověkomъ|чьловѣкомъ
i|и
perxodę|прѣходѧ
jisusъ|исоусъ
otъtǫdu|отътѫдоу
vidě|видѣ
čьlověka|чьловѣка
na|на
mytьniki|мъітьници
sědęћǞ|сѣдѧща
jьmene|имене
matъtejǞ|матътеꙗ
i|и
golgola|глагола
jemu|ѥмоу
po|по
mъně|мънѣ
grędi|грѧди
i|и
vъstavъ|въставъ
po|по
ńemь|н҄емь
jьde|иде
i|и
bystъ|бъістъ
jemu|ѥмоу
vъzležęћu|възлежѧщоу
vъ|въ
domu|домоу
i|и
se|се
mъnogi|мъноѕи
grěšьniki|грѣшьници
i|и
mytaŕe|мъітар҄е
prišьdъše|пришьдъше
vъzležǞaxǫ|възлежаахѫ
﻿sъ|﻿съ
jisusomь|исоусомь
i|и
﻿sъ|﻿съ
učeniky|оученикъі
jego|ѥго
i|и
viděvъše|видѣвъше
fariseji|фарисеи
golgolaaxǫ|глаголаахѫ
učenikomъ|оученикомъ
jego|ѥго
po|по
čьto|чьто
﻿sъ|﻿съ
mytaŕi|мъітар҄и
i|и
grěšьniky|грѣшьникъі
učiteĺь|оучител҄ь
vašь|вашь
jǞstъ|ꙗстъ
jisusъ|исоусъ
že|же
slyšǞvъ|слъішавъ
reče|рече
jimъ|имъ
ne|не
terbujǫtъ|трѣбоуѭтъ
sъdorviji|съдравии
vьračǞ|вьрача
nъ|нъ
bolęћeji|болѧщеи
šьdъše|шьдъше
že|же
naučite|наоучите
sę|сѧ
čьto|чьто
jestъ|ѥстъ
milostyńi|милостъін҄и
xoћǫ|хощѫ
a|а
ne|не
žŕ̥tvě|жрьтвѣ
ne|не
prijьdъ|приидъ
bo|бо
pravьdьnikъ|правьдьникъ
prizъvatъ|призъватъ
nъ|нъ
grěšьniky|грѣшьникъі
na|на
pokajǞnьje|покаꙗниѥ
tъgъda|тъгъда
pristǫpišę|пристѫпишѧ
kъ|къ
ńemu|н҄емоу
učeniki|оученици
ijoanovi|иоанови
golgoĺǫћe|глаголѭще
po|по
čьto|чьто
my|мъі
i|и
fariseji|фарисеи
postimъ|постимъ
sę|сѧ
mъnogo|мъного
a|а
učeniki|оученици
tvoji|твои
ne|не
postętъ|постѧтъ
sę|сѧ
reče|рече
jimъ|имъ
jisusъ|исоусъ
jeda|ѥда
mogǫtъ|могѫтъ
synove|съінове
bьračьniji|бьрачьнии
plakati|плакати
sę|сѧ
dońьdeže|дон҄ьдеже
﻿sъ|﻿съ
ńimi|н҄ими
jestъ|ѥстъ
ženixъ|женихъ
prijьdǫtъ|приидѫтъ
že|же
dьnьje|дьниѥ
jegъdaže|ѥгъдаже
otьmetъ|отьметъ
sę|сѧ
otъ|отъ
ńixъ|н҄ихъ
ženixъ|женихъ
i|и
tъgъda|тъгъда
postętъ|постѧтъ
sę|сѧ
nikъtože|никътоже
bo|бо
ne|не
pristavĺǞjetъ|приставлꙗѥтъ
pristavĺenьjǞ|приставл҄ениꙗ
polta|плата
ne|не
běĺena|бѣл҄ена
rizě|ризѣ
vetъxě|ветъсѣ
vъzьmetъ|възьметъ
bo|бо
konьčinǫ|коньчинѫ
svojǫ|своѭ
otъ|отъ
rizy|ризъі
i|и
boĺьši|бол҄ьши
dira|дира
bǫdetъ|бѫдетъ
ni|ни
vъzlivajǫtъ|възливаѭтъ
vina|вина
nova|нова
vъ|въ
měxy|мѣхъі
vetъxy|ветъхъі
aћe|аще
li|ли
že|же
ni|ни
prosędǫtъ|просѧдѫтъ
sę|сѧ
měxi|мѣси
i|и
vino|вино
prolějetъ|пролѣѥтъ
sę|сѧ
i|и
měxi|мѣси
pogybĺǫtъ|погъіблѭтъ
nъ|нъ
vino|вино
novo|ново
vъ|въ
měxy|мѣхъі
novy|новъі
vъlivajǫtъ|въливаѭтъ
i|и
oboje|обоѥ
sъbĺudajetъ|съблюдаѥтъ
sę|сѧ
sike|сице
golgoĺǫћu|глаголѭщоу
jemu|ѥмоу
kъ|къ
ńimъ|н҄имъ
se|се
kъnęgь|кънѧѕь
vъšьdъ|въшьдъ
klańǞaše|кланꙗаше
sę|сѧ
jemu|ѥмоу
golgoĺę|глаголѩ
ako|ако
dъћi|дъщи
mojǞ|моꙗ
nyně|нъінѣ
umertъ|оумрѣтъ
nъ|нъ
prišьdъ|пришьдъ
nyně|нъінѣ
vъzloži|възложи
na|на
ńǫ|нѭ
rǫkǫ|рѫкѫ
tvojǫ|твоѭ
i|и
oživetъ|оживетъ
i|и
vъstavъ|въставъ
jisusъ|исоусъ
po|по
ńemь|н҄емь
jьděaše|идѣаше
i|и
učeniki|оученици
jego|ѥго
i|и
se|се
žena|жена
krъvotočiva|кръвоточива
dъvě|дъвѣ
na|на
desęte|десѧте
lětě|лѣтѣ
jьmǫћi|имѫщи
pristǫpĺьši|пристѫпл҄ьши
﻿sъ|﻿съ
zadi|зади
prikosnǫ|прикоснѫ
sę|сѧ
vъskridlьji|въскрилии
rizy|ризъі
jego|ѥго
golgolaaše|глаголааше
bo|бо
vъ|въ
sebě|себѣ
aћe|аще
tъkъmo|тъкъмо
prikosnǫ|прикоснѫ
sę|сѧ
rizy|ризъі
jego|ѥго
sъpasena|съпасена
bǫdǫ|бѫдѫ
jisusъ|исоусъ
že|же
obvorћь|обращь
sę|сѧ
i|и
viděvъ|видѣвъ
jǫ|ѭ
reče|рече
dŕ̥zaji|дрьзаи
dъћi|дъщи
věra|вѣра
tvojǞ|твоꙗ
sъpase|съпасе
tę|тѧ
i|и
sъpasena|съпасена
bystъ|бъістъ
žena|жена
otъ|отъ
čǞsa|часа
togo|того
i|и
prišьdъ|пришьдъ
jisusъ|исоусъ
vъ|въ
domъ|домъ
kъnęžь|кънѧжь
i|и
viděvъ|видѣвъ
sopьkę|сопьцѧ
i|и
narodъ|народъ
ml̥vęћь|млъвѧщь
golgola|глагола
jimъ|имъ
otiděte|отидѣте
ne|не
umertъ|оумрѣтъ
bo|бо
děvika|дѣвица
nъ|нъ
sъpitъ|съпитъ
i|и
rǫgaaxǫ|рѫгаахѫ
sę|сѧ
jemu|ѥмоу
jegъda|ѥгъда
že|же
jьzgъnanъ|изгънанъ
bystъ|бъістъ
narodъ|народъ
vъšьdъ|въшьдъ
jętъ|ѩтъ
jǫ|ѭ
za|за
rǫkǫ|рѫкѫ
i|и
vъsta|въста
děvika|дѣвица
i|и
jьzide|изиде
věstь|вѣсть
si|си
po|по
vьxejь|вьсеи
zemĺi|земл҄и
tojь|тои
i|и
perxodęћu|прѣходѧщоу
tǫdu|тѫдоу
jisusovi|исоусови
po|по
ńemь|н҄емь
jьdete|идете
dъva|дъва
slěpьka|слѣпьца
zovǫћǞ|зовѫща
i|и
golgoĺǫћǞ|глаголѭща
pomiluji|помилоуи
ny|нъі
synu|съіноу
davydovъ|давъідовъ
prišьdъšu|пришьдъшоу
že|же
jemu|ѥмоу
vъ|въ
domъ|домъ
pristǫpiste|пристѫписте
kъ|къ
ńemu|н҄емоу
slěpьka|слѣпьца
i|и
golgola|глагола
jima|има
jisusъ|исоусъ
věrujeta|вѣроуѥта
li|ли
ako|ако
mogǫ|могѫ
se|се
sъtvoriti|сътворити
golgolaste|глаголасте
jemu|ѥмоу
????|????
gospodi|господи
tъgъda|тъгъда
kosnǫ|коснѫ
jǞ|ꙗ
vъ|въ
oči|очи
golgoĺę|глаголѩ
po|по
věrě|вѣрѣ
vaju|ваю
bǫdi|бѫди
vama|вама
i|и
otverste|отврѣсте
sę|сѧ
jima|има
oči|очи
i|и
zaperti|запрѣти
jima|има
jisusъ|исоусъ
golgoĺę|глаголѩ
bĺuděta|блюдѣта
da|да
nikъtože|никътоже
ne|не
uvěstъ|оувѣстъ
ona|она
že|же
jьsšьdъšǞ|ишьдъша
proslaviste|прослависте
jь|и
po|по
vьxejь|вьсеи
zemĺi|земл҄и
tojь|тои
těma|тѣма
že|же
jьsxodęћema|исходѧщема
se|се
privěsę|привѣсѧ
čьlověkъ|чьловѣкъ
němъ|нѣмъ
běsьnъ|бѣсьнъ
i|и
jьzgъnanu|изгънаноу
běsu|бѣсоу
progolgola|проглагола
němъjь|нѣмъіи
i|и
divišę|дивишѧ
sę|сѧ
narodi|народи
golgoĺǫћe|глаголѭще
nikoliže|николиже
avi|ави
sę|сѧ
tako|тако
vъ|въ
jizrajiĺi|издраил҄и
