lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
въздрѣмати,161772,V-,true,въздрѣмааше|въздрѣмати,въздрѣмааше
съгъбеныи,161774,A-,true,съгъбенѣ,
крѣпъцѣ,161775,Df,true,крѣпъцѣ|крѣпцѣ,
объяти,161777,V-,true,обиꙗтъ|ѡбьяша|ѡбьятъ|обнело,ѡбьяша
въспрянути,161778,V-,true,въспрꙗнѹвъ|въспрѧнѹвъ|въспрѧнѹвъшю|вос꙽прѧнꙋти,
утрѣшьнии,161784,A-,true,ѹтрѣишимь|ѹтрѣишьниимь,
умълкнути,161788,V-,true,ѹмълкънꙗше|ѹмълъче|умолкоша|оумѡлче,ѹмълкънꙗше|ѹмълъче
благословьствити,161789,V-,true,бл҃гословести,
несъпание,161791,Nb,true,несъпаниѥ|неспанїе,
съобьщьникъ,161793,Nb,true,съобьщникѹ,
причисти,161794,V-,false,причьти|причьтенъ|причьте|причти|причести,причьте
лѣпотьныи,161797,A-,true,лѣпотьною,
съкръвеныи,161799,A-,true,съкръвено|съкръвенѣ|съкровен꙽ными,
сънятие,161804,Nb,true,сънѧтию,
немъногыи,161805,A-,true,немнозѣхъ|не мнѡго|не мнѡжаишим|немнѡѕи,
прѣдъставляти,161807,V-,true,прѣдъставлꙗаше|представлѧема,прѣдъставлꙗаше
възгнѣтити,161809,V-,true,възгнѣтить,възгнѣтить
приставьникъ,161811,Nb,true,приставьникъ|приставьникы,приставьникъ
сънѣдьныи,161814,A-,true,сънѣдьно,
уставьныи,161815,A-,true,ѹставьныꙗ|ѹставьныихъ,
прѣдъложити,161816,V-,true,прѣдъложенѣмь|прѣдъложити|прѣдъложю|предложит|предложи|предложени,прѣдъложю
отъблудити,161818,V-,true,ѿблѹдивъшее,
съповѣдание,161822,Nb,true,съповѣданиѥ,
прѣдъставити,161823,V-,true,прѣдъставиши,прѣдъставиши
съньзти,161827,V-,true,съньзъша,
пьрвомученикъ,161830,Nb,true,пьрьвом҃чнка,пьрьвом҃чнка
хлѣбьць,161835,Nb,true,хлѣбьцѣ|хлѣбца|хлѣьца,хлѣьца
въсыпати,161839,V-,true,въсыпати,
въспомяновение,161840,Nb,true,въспомѧновениѥ,
подвижьникъ,161841,Nb,true,подвижьникомъ|подвижника|подвижникъ,
сътворение,161842,Nb,true,сътворениѥ|сотворенїа,
