793,глаголъ,Nb,6
794,убѣжати,V-,2
795,прѣльсть,Nb,2
796,прѣщедрыи,A-,2
797,живодавець,Nb,1
798,человѣколюбьць,Nb,1
799,хотѣние,Nb,2
800,милосьрдие,Nb,5
801,направити,V-,1
802,мирьныи,Nb,1
803,бесъблазньныи,A-,1
804,призьрѣти,V-,3
805,высота,Nb,1
806,святыни,Nb,2
807,болѣзнь,Nb,4
808,съродьникъ,Nb,1
809,умьрщвляти,V-,1
810,въмѣнити,V-,1
811,овьнъ,Nb,1
812,сънѣдь,Nb,1
813,въпрекы,Df,1
814,умыслити,V-,4
815,селико,Df,1
816,елико,Dq,10
817,възмощи,V-,10
818,въздвигнути,V-,1
819,врагъ,Nb,15
820,поносити,V-,2
821,протьрпѣти,V-,1
822,велерѣчевати,V-,1
823,укрыти,V-,2
824,межу,R-,4
825,съпасти#2,V-,1
826,служьба,Nb,12
827,вашь,Ps,15
828,жалостьно,Df,2
829,водитель,Nb,1
830,слѣпыи,A-,3
831,одежа,Nb,30
832,нагыи,A-,3
833,староста,Nb,1
834,жьзлъ,Nb,1
835,казатель,Nb,1
836,наказати,V-,3
837,веселити,V-,8
838,вельможа,Nb,7
839,величие,Nb,1
840,почудити,V-,2
841,съмѣрение,Nb,26
842,съмѣрити,V-,3
843,оныи,Pd,11
844,усънути,V-,8
845,живыи,A-,8
846,иулии,Nb,2
847,девять,Ma,1
848,каланды,Nb,1
849,съняти,V-,6
850,отъсѣчи,V-,1
851,отъврѣщи,V-,3
852,кромѣ,R-,2
853,послѣдь,Df,3
854,познати,V-,3
855,коло,Nb,1
856,повезти,V-,1
857,боръ,Nb,1
858,въскланяти,V-,3
859,увѣдѣти,V-,14
860,варягъ,Nb,1
861,мечь,Nb,4
862,въсприяти,V-,5
863,неувядаемыи,A-,1
864,принести,V-,10
865,погрети,V-,5
866,оставити,V-,12
867,большии,A-,8
868,неистовити,V-,1
869,простирати,V-,2
870,желание,Nb,2
871,улучити,V-,2
872,въспомянути,V-,3
873,съблажнение,Nb,1
874,малы,Df,7
875,покаяние,Nb,9
876,прѣклонити,V-,2
877,вънити,V-,28
878,сотона,Ne,2
879,пострѣкати,V-,2
880,вящии,A-,5
881,гории,A-,2
882,съдѣяти,V-,1
883,сьдѣ,Df,12
884,дъвои,Ma,2
885,чаяти,V-,4
886,варити,V-,5
887,въздати,V-,1
888,изгънати,V-,1
889,чужии,A-,2
890,прѣстолъ,Nb,2
891,жалость,Nb,1
892,сънѣсти,V-,1
893,поношение,Nb,1
894,напасти,V-,2
895,дворъ,Nb,9
896,възлюбити,V-,7
897,погънати,V-,4
898,язва,Nb,2
899,приложити,V-,4
900,обаче,Df,21
901,оцѣстити,V-,3
902,потрѣбити,V-,1
903,послѣди,Df,3
904,прѣдълежати,V-,2
905,дияволь,A-,4
906,въбързѣ,Df,4
907,зъвати,V-,3
908,съдравити,V-,1
909,ти,Df,3
910,вельми,Df,11
911,въсѣсти,V-,4
