ѫже|59200|Nb|ǫže|||||||rope, line; (in pl.) shackles, chains||This is presumably a variant of the root *ǫžь (> Pol. wąż 'snake') that Derksen 2008 p.388 reconstructs||||||||nt_jo|2|||M|||S|Ps|
желѣзнъ|59201|A-|želěznъ|||||||||||||||||adj_hard|2|||M|||S|Ps|
пѫта|59202|Nb|pǫto|||||||shackles, binds, fetters||||||||||nt_o|2|||M|||||
съкроушати|59204|V-|sъkrušǢti|||||||||||||||||54|1|||M|||S|Ps|
камениѥ|59205|Nb|kamenьje|||||||||||||||||nt_jo|2|||M|||S|Ps|
излѣсти|59206|V-|jьzlěsti|||||||||||||||jьzlěz|jьzlěz|11|1|||M|||S||
корабль|59207|Nb|korabĺь||||2||||korabjь|This word must've been borrowed when CS /o,a/ were still separated by quantity rather than quality as /ă ā/, similar to товар (< Turkic. *tawar, Kaz. тауар, Turkish. davar 'livestock'), with the stressed Greek /a/ heard as long.||καράβιον||||||masc_jo|2|||M|||S|Ps|
съвѧзати|59208|V-|sъvęzati|||||||||||||||||52|1|||M|||S||
ни|59213|C-|ni||||||||||||||||||0|||M|Eu||S|Ps|
оумѫчити|59217|V-|umǫčiti|||||||subjugate, subdue, humble;; exhaust, wear out (for example by torturing)||||||||||40|1|||M|||S||
занѥ|59218|G-|zańe|||||||because|zanje||||||||||0|||M|||S|Ps|
кратъ|59219|Nb|kortъ|||||||раз, Mal, vez, fois||Pol. wielokrotny; ESSJa 11 p.99-100 gives Lower Sorbian 'krot' and Slovincian 'krót', plus Lith. 'kar̃tas'||||||||masc_o|2|||M|||S|Ps|
сърѣсти|59220|V-|sъrěsti|||||||||||||||sъrět|sъrět|rěsti|1|||M|||S|Ps|
тако|59223|Df|tako||||||||||||||||||0|||M|||S|Ps|
страшивъ|59225|A-|strašivъ|||||||frightened, scared, испуганный||||||||||adj_hard|2|||M|||S||
