хотѣаше|V-3siia----i|хотѣа̄ше̄
оутѣшіті|V---pna----i|ѹ̄тѣшіті
сѧ|Pk3s---qa--i|сѧ
ѣко|G----------n|ѣ̄ко
не|Df---------n|не
сѫтъ|V-3ppia----i|сѫтъ
оумершоу|V--supamd-si|Ѹ̄мерш҅ѹ
же|Df---------n|же
іродоу|Ne-s---md--i|ӣродѹ
се|I----------n|се
англъ|Nb-s---mn--i|а҃̄нꙉлъ
гнъ|A--s---mnpsi|г҃нъ
въ|R----------n|въ
сьнѣ|Nb-s---ml--i|сьнѣ
ѣві|V-3saia----i|ѣ҅ви
сѧ|Pk3s---qa--i|сѧ
іосіфоу|Ne-s---md--i|ӣосифѹ
въ|R----------n|въ
егуптѣ|Ne-s---ml--i|е̄ꙉ̄ѵпт̄ѣ
глѧ|V--sppamn-si|г҃лѧ
въставъ|V--supamn-si|Въставъ
поімі|V-2spma----i|поӣми
отрочѧ|Nb-s---na--i|о̄трочѧ
і|C----------n|ӣ
мрь|Nb-s---fa--i|м҃рь
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ̄
іді|V-2spma----i|ӣди
въ|R----------n|въ
землѭ|Nb-s---fa--i|землѭ
ізлвѫ|A--s---fapsi|и҃̄злвѫ
ізмрѣшѧ|V-3paia----i|Ӣзм҅рѣшѧ
бо|Df---------n|бо
іскѫштіі|V--pppamn-wi|ӣскѫщиӣ
дшѧ|Nb-s---fg--i|д҃шѧ
отрочѧте|Nb-s---ng--i|о̄̄трочѧте
онъ|Pd-s---mn--i|о̄нъ
же|Df---------n|же
въставъ|V--supamn-si|въставъ
поѧтъ|V-3saia----i|поѩ҅тъ
отрочѧ|Nb-s---na--i|о̄трочѧ
і|C----------n|и҅̄
мтръ|Nb-s---ma--i|м҃тръ
его|Pp3s---mg--i|е҅го
і|C----------n|ӣ
въніде|V-3saia----i|въниде
въ|R----------n|въ
землѭ|Nb-s---fa--i|землѭ
ізлевѫ|A--s---fapsi|и҃҅злевѫ
слъішавъ|V--supamn-si|Слъишавъ
же|Df---------n|же
ѣко|G----------n|Ѣ̄ко
архілаі|Ne-s---mn--i|а̄р҅хилаӣ
црствоуетъ|V-3spia----i|ц҃рствѹе̄тъ
въ|R----------n|въ
іюдеі|Nb-p---mn--i|ӣю̄деӣ
въ|R----------n|въ
ірода|Ne-s---mg--i|ӣрода
мѣсто|Nb-s---na--i|мѣсто
оца|Nb-s---mg--i|о҃̄ца
своего|Pt3s---mg--i|свое̄го
оубоѣ|V-3saia----i|Ѹ҅боѣ
сѧ|Pk3s---qa--i|сѧ
тамо|Df---------n|тамо
іті|V---pna----i|ӣті
вѣсть|V-3spia----i|Вѣсть
же|Df---------n|же
пріемъ|V--supamn-si|пріе̄мъ
въ|R----------n|въ
сънѣ|Nb-s---ml--i|сънѣ
отіде|V-3saia----i|о̄̄тіде
въ|R----------n|въ
странѫ|Nb-s---fa--i|странѫ
галілеіскѫ|A--s---fapsi|галилеӣск̄ѫ
і|C----------n|Ӣ
прішедъ|V--supamn-si|прішедъ
въселі|V-3saia----i|въсели
сѧ|Pk3s---qa--i|сѧ
въ|R----------n|въ
градъ|Nb-s---ma--i|градъ
наріцаемъі|V--spppma-wi|нарицае̄мъи
назаретъ|Ne-s---ma--i|назаретъ
да|G----------n|Да
събѫдетъ|V-3spia----i|събѫдетъ
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
прркмъ|Nb-s---mi--i|п҃рркмъ
ѣко|Df---------n|Ѣ̄̄ко
назареі|V--supamn-wi|назареӣ
наречетъ|V-3spia----i|наречетъ
сѧ|Pk3s---qa--i|сѧ
пріде|V-3saia----i|приде
іоанъ|Ne-s---mn--i|ӣо̄анъ
крстль|Nb-s---mn--i|к҃рстль
проповѣдаѧ|V--sppamn-si|проповѣдаѩ
въ|R----------n|въ
поустъіні|Nb-s---fl--i|пѹстъини
іерданстѣі|A--s---flpwi|ӣе̄рд̄анс҅тѣ̄ӣ
глѧ|V--sppamn-si|г҃лѧ
покаіте|V-2ppma----i|Покаӣте
сѧ|Pk3s---qa--i|сѧ
прібліжі|V-3saia----i|пріближи
бо|Df---------n|бо
сѧ|Pk3s---qa--i|сѧ
црство|Nb-s---nn--i|ц҃рство
нбесьное|A--s---nnpwi|н҃бесьное̄
сь|Pd-s---mn--i|сь
бо|Df---------n|бо
естъ|V-3spia----i|е̄стъ
реченъіі|V--suppmn-wi|реченъиӣ
ісаіемъ|Ne-s---mi--i|ӣсаӣе̄мъ
прркмъ|Nb-s---mi--i|прркмъ
глштемъ|V--sppami-si|г҃лщемъ
глас|Nb-s---mn--i|Глас
въпіѭштааго|V--sppamg-wi|въпіѭ̄щаа̄го
въ|R----------n|въ
поустъіні|Nb-s---fl--i|пѹстъини
оуготоваіте|V-2ppma----i|ѹ̄готоваӣте
пѫть|Nb-s---ma--i|пѫть
гнь|A--s---mapsi|г҃нь
правъі|A--p---papsi|правъи
творіте|V-2ppma----i|творите
стьзѧ|Nb-p---fa--i|стьѕѧ
его|Pp3s---mg--i|е̄го
самже|Px-s---ni--i|Самж̄̄е
іоанъ|Ne-s---mn--i|ӣо̄а̄нъ
імѣаше|V-3siia----i|ӣмѣа̄ше
різѫ|Nb-s---fa--i|ризѫ
своѭ|Pt3s---fa--i|своѭ̄
от|R----------n|ѡт
власъ|Nb-s---mn--i|власъ
вельбѫждъ|A--s---mnpsi|вельбѫждъ
і|C----------n|ӣ
поѣсъ|Nb-s---mn--i|поѣсъ
оусніѣнъ|A--s---mnpsi|ѹ̄сн҅иѣ̄нъ
о|R----------n|о̄
чрѣслѣхъ|Nb-p---nl--i|чрѣслѣ̄хъ
своіхъ|Pt3p---nl--i|своӣхъ
ѣдь|Nb-s---fa--i|ѣ̄дь
же|Df---------n|же
его|Pp3s---mg--i|е̄го
бѣ|V-3siia----i|бѣ
акріді|Nb-p---fn--i|а̄кріді
і|C----------n|ӣ
медъ|Nb-s---mn--i|медъ
дівіі|A--s---mnpwi|ді̄в̄іӣ
тогда|Df---------n|Тогда
ісхождааше|V-3siia----i|ӣсхождаа̄ше
кь|R----------n|кь
немоу|Pp3s---md--i|немѹ
весь|Nb-s---fa--i|весь
іерлмъ|Ne-s---ma--i|ӣе̄рлмъ
і|C----------n|ӣ
іюдеі|Nb-p---mn--i|ӣю̄деӣ
і|C----------n|ӣ
всѣ|Px-s---fn--i|всѣ̄
страна|Nb-s---fn--i|стр̄ана
іерданска|A--s---fnpsi|ӣе̄рд̄анск҅а
і|C----------n|ӣ
крштахѫ|V-3piia----i|к҃рщахѫ
сѧ|Pk3s---qa--i|сѧ
от|R----------n|от
него|Pp3s---mg--i|него
въ|R----------n|въ
іерданъстѣі|A--s---flpwi|ӣе̄рда̄нъстѣӣ
рѣцѣ|Nb-s---fl--i|рѣцѣ
ісповѣдаѭште|V--pppamn-si|ӣсповѣдаѭ̄ще
грѣхъі|Nb-p---ma--i|грѣхъі
своѧ|Pt3p---ma--i|своѩ̄
відѣвъ|V--supamn-si|Видѣвъ
же|Df---------n|же
многъі|A--s---fgpsi|мн̆огъи
фарісеѧ|Px-s---fg--i|фарісеѩ̄
і|C----------n|ӣ
садоукеѧ|Nb-p---ma--i|садѹкеѩ
грѧдѫштѧ|V--pppapa-si|грѩдѫщѧ
на|R----------n|на
крштеніе|Nb-s---na--i|к҃рщение̄
его|Pp3s---mg--i|е̄го
рече|V-3saia----i|Рече
імъ|Pp3p---md--i|ӣмъ
іштѧдіѣ|Nb-p---nv--i|ӣщѧдиѣ̄
ехідънова|A--p---nvpsi|ехидънова
кто|Px-s---pn--i|кт̄о
съказа|V-3saia----i|съказа
вамъ|Pp2p---qd--i|вамъ
бѣжаті|V---pna----i|бѣжаті
от|R----------n|от
грѧдѫштааго|V--sppaog-wi|грѩдѫщаа̄го
гнѣва|Nb-s---mg--i|гн̄ѣва
сътворіте|V-2ppma----i|сътворите
оубо|Df---------n|ѹ̄бо
плодъі|Nb-p---ma--i|плодъі
достоінъі|A--p---papsi|достоӣнъи
покаанію|Nb-s---nd--i|покаа̄нию
і|C----------n|ӣ
не|Df---------n|не
начінаіте|V-2ppma----i|начинаӣте
глаті|V---pna----i|г҃лати
въ|R----------n|въ
себѣ|Pk3s---ql--i|се̄бѣ
оца|Nb-s---mg--i|о҃̄ца
імамъ|V-1ppia----i|ӣмамъ
авраама|Ne-s---mg--i|а̄враа̄ма
глѭ|V-1spia----i|г҃лѭ
бо|Df---------n|бо
вамъ|Pp2p---qd--i|вамъ
ѣко|G----------n|Ѣ̄ко̄
можетъ|V-3spia----i|можетъ
бъ|Nb-s---mn--i|б҃ъ
от|R----------n|от
каменіѣ|Nb-s---ng--i|кам̄ениѣ̄
сего|Pd-s---og--i|сего
въздвігнѫті|V---pna----i|въздвигнѫті
чѧда|Nb-p---na--i|чѩда
авраамоу|Ne-s---md--i|А̄враа̄мѹ
юже|Df---------n|Ю̄же
бо|Df---------n|бо
і|C----------n|ӣ
секъіра|Nb-s---fn--i|секъира
прі|R----------n|при
корені|V-3saia----i|корени
дрѣва|Nb-s---ng--i|дрѣва
лежітъ|V-3spia----i|лежітъ
всѣко|A--s---napsi|вс҅ѣко
оубо|Df---------n|ѹ̄бо
дрѣво|Nb-s---na--i|дрѣво
еже|Pr-s---nn--i|е̄же
не|Df---------n|не
творітъ|V-3spia----i|творітъ
плода|Nb-s---mg--i|плода
добра|A--s---mgpsi|добра
посѣкаемо|V--spppnn-si|П̀осѣкае̄мо
бъіваетъ|V-3spia----i|бъивае̄тъ
і|C----------n|ӣ
въ|R----------n|въ
огнъ|Nb-s---ma--i|о̄гнъ
въмѣтаемо|V--spppna-si|въмѣтае̄мо
азъ|Pp1s---mn--i|А̄зъ
оубо|Df---------n|ѹ̄бо
крштаѭ|V-1spia----i|к҃рщаѭ̄
въі|Pp2p---qa--i|въи
проповѣдаѧ|V--sppamn-si|проповѣдаѩ̄
покааніе|Nb-s---na--i|покаа̄ние̄
грѧдъі|V--sppamn-si|Грѩ̄дъі
же|Df---------n|же
по|R----------n|по
мнѣ|Pp1s---ml--i|мнѣ̄
крѣплеі|A--s---mncti|крѣплеӣ
мене|Pp1s---qg--i|мене
естъ|V-3spia----i|е̄стъ
емоуже|Pr-s---md--i|е̄мѹже
нѣсмъ|V-1spia----i|нѣсмъ
достоі|V-3spia----i|достоӣ
сапогоу|Nb-s---md--i|сапогѹ
понесті|V---pna----i|понести
тъ|Pd-s---mn--i|тъ
въі|Pp2p---ma--i|въі
крстітъ|V-3spia----i|к҃рститъ
дхмъ|Nb-s---mi--i|д҃хмъ
стм|A--s---mipwi|с҃тм
пріде|V-3saia----i|Пріде
ісъ|Ne-s---mn--i|и҃҅с̄ъ
от|R----------n|от
галілеѧ|Ne-s---fg--i|галілеѩ̄
на|R----------n|на
іерданъ|Ne-s---ma--i|ӣе̄рда̄нъ
кръстіт|V-3spia----i|кръстіт
сѧ|Pk3s---qa--i|сѧ
от|R----------n|от
него|Pp3s---mg--i|него
пріде|V-3saia----i|приде
іс|Ne-s---mn--i|ис
от|R----------n|ѡт
арета|Ne-s---mg--i|арета
галілеіскааго|A--s---ogpwi|галилеӣскаа̄го
і|C----------n|ӣ
крсті|V-3saia----i|к҃рсти
сѧ|Pk3s---qa--i|сѧ
о|R----------n|ѡ̄
іоана|Ne-s---mg--i|ӣо̄а̄на
въ|R----------n|въ
ерданѣ|Ne-s---ml--i|е̄рд̄анѣ
іоанъ|Ne-s---mn--i|Ӣо̄а̄нъ
же|Df---------n|же
възбранѣаше|V-3siia----i|възбранѣа̄ше
емоу|Pp3s---od--i|е̄мѹ
глѧ|V--sppamn-si|г҃лѧ
азъ|Pp1s---mn--i|А̄зъ
трѣбоуѭ|V-1spia----i|трѣбѹѭ̄
тобѭ|V-1spia----i|тобѭ̄
крстіті|V---pna----i|к҃рститі
сѧ|Pk3s---qa--i|сѧ
а|C----------n|а̄
тъі|Pp2s---mn--i|тъи
лі|Du---------n|лі
грѧдеші|V-2spia----i|грѩ̄деши
кь|R----------n|кь
мънѣ|Pp1s---md--i|мънѣ
отвѣштавъ|V--supamn-si|Ѡтвѣштавъ
же|Df---------n|же
ісъ|Ne-s---mn--i|и҃̄съ
рече|V-3saia----i|рече
кь|R----------n|кь
немоу|Pp3s---md--i|немѹ
остані|V-2spma----i|о̄стани
нъінѣ|Df---------n|нъинѣ
тако|Df---------n|Тако
бо|Df---------n|бо
подобно|A--s---nnpsi|п̄одо̄бн̄о
естъ|V-3spia----i|е̄стъ
намъ|Pp1p---md--i|намъ
ісплъніті|V---pna----i|ӣсп̄лънити
всѭ|Px-s---fa--i|всѭ̄
правьдѫ|Nb-s---fa--i|правьдѫ
тогда|Df---------n|Тогда
і|C----------n|ӣ
оставі|V-3saia----i|о̄стави
кръштъ|A--s---mapsi|Кръщъ
же|Df---------n|же
сѧ|Pk3s---qa--i|сѧ
ісъ|Ne-s---mn--i|и҃̄съ
възіде|V-3saia----i|възиде
абіе|Df---------n|а̄біе
отъ|R----------n|о̄тъ
водъі|Nb-s---fg--i|водъи
і|C----------n|Ӣ
се|I----------n|се
отврѣсѧ|V-3paia----i|о̄тв̄рѣсѩ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
нбса|Nb-p---na--i|н҃бса
і|C----------n|ӣ
відѣ|V-3saia----i|видѣ
дхъ|Nb-s---ma--i|д҃хъ
бжіі|A--s---mapsi|б҃жіі
съходѧштъ|V--sppama-si|съходѧщъ
ѣко|Df---------n|ѣ̄ко
голѫбъ|Nb-s---mn--i|голѫбъ
і|C----------n|ӣ
грѧдѫшть|V--sppama-si|грѧдѫщь
на|R----------n|на
нь|Pp3s---ma--i|нь
і|C----------n|ӣ
абіе|Df---------n|а̄бие̄
въсходѧ|V--sppamn-si|въсходѧ
от|R----------n|от
водъі|Nb-s---fg--i|водъи
відѣ|V-3saia----i|видѣ
разводѧшта|V--pppana-si|разводѧща
сѧ|Pk3s---qa--i|сѧ
нбса|Nb-p---na--i|н҃бса
і|C----------n|ӣ
дхъ|Nb-s---ma--i|д҃хъ
ѣко|G----------n|ѣ̄ко
голѫбь|Nb-s---ma--i|голѫбь
съходѧштъ|V--sppama-si|съходѧштъ
на|R----------n|на
нь|Pp3s---ma--i|нь
і|C----------n|Ӣ
се|I----------n|се
глас|Nb-s---mn--i|глас
съ|R----------n|съ
нбсе|Nb-s---ng--i|н҃бсе
глѧ|V--sppamn-si|г҃лѧ
сь|Pd-s---mn--i|Сь
естъ|V-3spia----i|е̄стъ
снъ|Nb-s---mn--i|с҃нъ
моі|Ps1s---mn--i|мои
възлюбленъіі|V--suppmn-wi|възлюбленъіӣ
о|R----------n|о̄
немъже|Pr-s---ml--i|немъже
благоволіхъ|V-1saia----i|благоволихъ
і|C----------n|ӣ
глас|Nb-s---mn--i|глас
бъіс|V-3saia----i|бъис
съ|R----------n|съ
нбсе|Nb-s---ng--i|н҃бсе
тъі|Pp2s---mn--i|Тъи
есі|V-2spia----i|е̄си
снъ|Nb-s---mn--i|с҃нъ
моі|Ps1s---mn--i|моӣ
възлюбенъіі|V--suppmn-wi|възлюбенъиӣ
о|R----------n|О̄
тебѣ|Pp2s---ml--i|тебѣ
благоволіхъ|V-1saia----i|благоволихъ
възведенъ|V--suppmn-si|възведенъ
бъіс|V-3saia----i|бъис
іс|Ne-s---mn--i|и҃с
дхмъ|Nb-s---mi--i|д҃хмъ
въ|R----------n|въ
поустъінѭ|Nb-s---fa--i|пѹстъинѭ
іскоусітъ|V----u--a--i|ӣскѹситъ
сѧ|Pk3s---qa--i|сѧ
от|R----------n|от
діѣвола|Nb-s---mg--i|диѣ̄вола
і|C----------n|ӣ
пості|V-2spma----i|пості
сѧ|Pk3s---qa--i|сѧ
дьніі|Nb-p---mg--i|дьнии
к|Ma-s---mn--i|к҃
і|C----------n|ӣ
ноштіі|Nb-p---ng--i|нощиӣ
к|R----------n|к҃
те|Pp2s---ma--i|те
послѣді|Df---------n|послѣді
же|Df---------n|же
възьалка|V-3saia----i|възьа̄лк̄а
і|C----------n|Ӣ
прістѫпль|V--supamn-si|прістѫпль
іскоусітель|Nb-s---mn--i|ӣскѹсітель
рече|V-3saia----i|рече
емоу|Pp3s---md--i|е̄мѹ
аште|G----------n|А̄ще
снъ|Nb-s---mn--i|с҃нъ
есі|V-2spia----i|е̄си
бжіі|A--s---mapsi|б҃жіи
рьці|V-2spma----i|рьци
да|G----------n|да
каменіе|Nb-s---nn--i|камение̄
се|Pd-s---nn--i|се
хлѣбі|Nb-p---mn--i|хлѣби
бѫдѫт|V-3pfia----i|бѫдѫт
онъ|Pd-s---mn--i|о̄нъ
же|Df---------n|же
вставъ|V--supamn-si|вставъ
рече|V-3saia----i|рече
пісано|V--suppnn-si|Пісано
естъ|V-3spia----i|е̄стъ
не|Df---------n|не
о|R----------n|о̄
хлѣбѣ|Nb-s---ml--i|хлѣбѣ
едіномъ|Ma-s---ol--i|е̄диномъ
жівъ|A--s---mnpsi|жівъ
бѫдетъ|V-3sfia----i|бѫдетъ
члкъ|Nb-s---mn--i|ч҃лкъ
нъ|C----------n|нъ
і|C----------n|ӣ
о|R----------n|о̄
вьсѣкомъ|A--s---mlpwi|вьсѣкомъ
глѣ|Nb-s---ml--i|г҃лѣ
ісходѧштіімъ|V--pppamd-wi|ӣсх̄одѧщиӣмъ
ізъ|R----------n|ӣзъ
оустъ|Nb-p---ng--i|ѹ̄стъ
бжіі|A--p---qgpsi|б҃жіи
тогда|Df---------n|Тогда
поѧтъі|V--suppmn-wi|поѩ̄т(ъ)и
діѣволъ|Nb-s---mn--i|діѣ̄волъ
въ|R----------n|въ
стъі|A--s---mapwi|с҃тъі
градъ|Nb-s---ma--i|градъ
і|C----------n|Ӣ
поставі|V-3saia----i|постави
і|Pp3s---ma--i|ӣ
на|R----------n|на
крілѣ|Nb-s---nl--i|крілѣ
црковьнѣам|Nb-p---fd--i|ц҃рковьнѣа̄м
і|C----------n|ӣ
рече|V-3saia----i|рече
емоу|Pp3s---md--i|е̄мѹ
аште|G----------n|а̄ще
снъ|Nb-s---mn--i|с҃нъ
есі|V-2spia----i|е̄сі
бжіі|A--s---mnpsi|б҃жіи
връзі|V-2spma----i|връѕі
сѧ|Pk3s---qa--i|сѧ
нізоу|Df---------n|низѹ
пісано|V--suppnn-si|Пісано
бо|Df---------n|бо
естъ|V-3spia----i|е̄стъ
ѣко|G----------n|ѣ̄ко
англомъ|Nb-p---md--i|а҃̄нꙉломъ
своімъ|Pt3p---qd--i|своӣмъ
заповѣстъ|V-3spia----i|заповѣстъ
о|R----------n|о̄
тебѣ|Pp2s---ml--i|тебѣ
і|C----------n|ӣ
на|R----------n|на
рѫкахъ|Nb-p---fl--i|рѫкахъ
възьмѫтъ|V-3ppia----i|възьмѫтъ
тѧ|Pp2s---ma--i|тѧ
да|G----------n|да
не|Df---------n|не
прѣтъкнеші|V-2spia----i|прѣтъкнеши
о|R----------n|о̄
камень|Nb-s---ma--i|камень
ногъі|Nb-s---fg--i|ногъи
твоеѧ|Ps2s---fg--i|твое̄ѩ̄
рече|V-3saia----i|Рече
емоу|Pp3s---md--i|е̄мѹ
ісъ|Ne-s---mn--i|и҃̄съ
пакъі|Df---------n|пакъи
пісано|V--suppnn-si|писано
естъ|V-3spia----i|е̄стъ
не|Df---------n|не
іскоусіші|V-2spia----i|ӣскѹсиши
га|Nb-s---mg--i|г҃а
ба|Nb-s---mg--i|б҃а
своего|Pt3s---mg--i|свое̄го
пакъі|Df---------n|Пакъі
поѧтъі|V--suppmn-wi|поѩ̄тъі
діѣволъ|Nb-s---mn--i|діѣ̄волъ
на|R----------n|на
горѫ|Nb-s---fa--i|горѫ
въісокѫ|A--s---fapsi|въисокѫ
зѣло|Df---------n|ѕѣло
і|C----------n|ӣ
показа|V-3saia----i|показа
емоу|Pp3s---md--i|е̄мѹ
всѣ|Px-p---na--i|всѣ̄
црствіѣ|Nb-s---ng--i|ц҃рствіѣ̄
въсего|Px-s---og--i|въсего
міра|Nb-s---mg--i|мира
і|C----------n|ӣ
славѫ|Nb-s---fa--i|славѫ
іхъ|Pp3p---mg--i|ӣхъ
і|C----------n|ӣ
рече|V-3saia----i|рече
емоу|Pp3s---md--i|е̄мѹ
въса|Px-p---na--i|въса
сіі|Pd-p---na--i|сіӣ
тебѣ|Pp2s---md--i|тебѣ
дамъ|V-1spia----i|да̄мъ
аште|G----------n|а̄ште
падъ|V--supamn-si|падъ
поклоніші|V-2spia----i|поклониши
мі|Pp1s---md--i|ми
сѧ|Pk3s---qa--i|сѧ
тогда|Df---------n|Тогда̄
рече|V-3saia----i|рече
емоу|Pp3s---md--i|е̄мѹ
ісъ|Ne-s---mn--i|и҃̄съ
отіді|V-2spma----i|о̄тіди
сотоно|Nb-s---mv--i|сотоно
пісано|V--suppnn-si|Писано
бо|Df---------n|бо
естъ|V-3spia----i|е̄стъ
гю|Nb-s---md--i|г҃ю
боу|Nb-s---md--i|б҃ѹ
своемоу|Pt3s---od--i|свое̄мѹ
поклоніші|V-2spia----i|поклониши
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
томоу|Pd-s---md--i|томѹ
едіномоу|Ma-s---md--i|е̄диномѹ
послоужіші|V-2spia----i|послѹжиші
тогда|Df---------n|тогда
і|C----------n|ӣ
оставі|V-3saia----i|о̄стави
діѣволъ|Nb-s---mn--i|діѣ̄волъ
і|C----------n|ӣ
се|I----------n|се
прістѫпішѧ|V-3paia----i|прист̄ѫпішѧ
англі|Nb-p---mn--i|а҃̄нꙉли
бжіі|A--p---mnpsi|б҃жіӣ
і|C----------n|и
слоужаахѫ|V-3piia----i|слѹжаа̄хѫ
емоу|Pp3s---md--i|е̄мѹ
слъішавъ|V--supamn-si|слъішавъ
ісъ|Ne-s---mn--i|и҃̄съ
ѣко|G----------n|ѣ̄ко
іоанъ|Ne-s---mn--i|ӣо̄а̄нъ
прѣданъ|V--suppmn-si|прѣданъ
бъіс|V-3saia----i|бъіс
отіде|V-3saia----i|о̄тіде
въ|R----------n|въ
галілеѭ|Ne-s---fa--i|галилеѭ̄
оставль|V--supamn-si|о̄ставль
назаретъ|Ne-s---ma--i|назаретъ
і|C----------n|ӣ
прішедъ|V--supamn-si|пришедъ
въселі|V-3saia----i|въсели
сѧ|Pk3s---qa--i|сѧ
въ|R----------n|въ
капернаоумъ|Ne-s---ma--i|каперн̄аѹ̄мъ
въ|R----------n|въ
поморіе|Nb-s---na--i|поморие̄
въ|R----------n|въ
прѣдѣлѣхъ|Nb-p---nl--i|прѣдѣлѣхъ
завьлонііхъ|A--p---nlpwi|завьлоніихъ
і|C----------n|ӣ
невталімліхъ|V-1saia----i|невт̄алімлихъ
да|G----------n|Да
събѫдетъ|V-3spia----i|събѫдетъ
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
ісаіемъ|Ne-s---mi--i|ӣсаӣе҅̄мъ
прркмъ|Nb-s---mi--i|п҃рркмъ
глштемъ|V--sppami-si|г҃лщемъ
землѣ|Nb-s---fv--i|з̄емлѣ̄
завлона|Ne-s---mg--i|завлона
і|C----------n|ӣ
землѣ|Nb-s---fn--i|зем̄лѣ̄
невталімѣ|Ne-s---ml--i|невт̄алімѣ
пѫтъ|Nb-s---ma--i|пѫтъ
морѣ|Nb-s---ng--i|морѣ
об|R----------n|о̄б
онъ|Pd-s---ma--i|онъ
полъ|Nb-s---ma--i|полъ
іордана|Ne-s---mg--i|ӣо̄рда̄н̄а
галілеа|Ne-s---mg--i|галілеа̄
ѧзкъ|Nb-s---mn--i|ѩ҃̄̄зкъ
людіе|Nb-p---mn--i|людіе̄
сѣдѧштіі|V--pppamn-wi|сѣдѧщии
въ|R----------n|въ
тьмѣ|Nb-s---fl--i|тьмѣ
відѣшѧ|V-3paia----i|відѣшѧ
