Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
народі|| 
мно̄ѕи|| · 
᾽ѡ̄т|| 
галілеѧ̄|| 
ӣ|| 
декаполѣ|| 
᾽и|| 
от҃|| 
ӣе҃̄рл҃ма|| · 
ӣ|| 
ӣю̄деѧ̄|| · 
съ|| 
о̄ного|| 
полоу|| 
ӣе̄рда̄на|| · 
ӣ|| 
о̄уӡьрѣвъ|| 
же|| 
народъи|| · 
въӡиде|| 
на|| 
горѫ|| · 
ӣ|| 
ѣ̄ко|| 
сѣде|| · 
прістѫпішѧ|| 
кь|| 
немоу|| 
᾽оученици|| 
е̄го|| · 
῾И|| 
о̄твръӡь|| 
о̄уста|| 
сво҃ѣ̄|| 
о̄учаа̄ше|| 
ѧ̄|| 
г҃лѧ|| · 
Блажени|| 
нищи|| 
д҃хмъ|| 
ѣ̄ко|| 
тѣх|| 
е̄стъ|| 
ц҃рство|| 
н҃бсъное̄|| · 
Блажени|| 
плачѧшти᾽и|| 
сѧ|| 
ѣ̄ко|| 
ти|| 
о̄утѣшѧтъ|| 
сѧ|| · 
Блажені|| 
кротциӣ|| 
ѣ̄ко|| 
ті|| 
наслѣдѧт|| 
ӡемл҃ѭ̄|| · 
Блажени|| 
а̄лчѫщіӣ|| 
ӣ|| 
жѧждѫщіи|| 
правъдъі|| · 
ѣ̄ко|| 
ти|| 
насъітѧтъ|| 
сѧ|| · 
Блажени|| 
милостівіӣ|| 
ѣ̄ко|| 
ті|| 
поміловани|| 
бѫдѫтъ|| · 
Блажені|| 
чісти|| 
с҃рдцмъ|| 
ѣ̄ко|| 
ті|| 
б҃а|| 
о̄уӡьрѧтъ|| · 
Блажени|| 
сьмирѣѭ̄щеӣ|| 
ѣ̄ко|| 
ти|| 
с҃нве|| 
б҃жіи|| 
нарекѫт|| 
с̄ѧ|| · 
Блажени|| 
ӣӡгь̄наніӣ|| 
правд̄ъи|| 
раді|| · 
ѣ̄ко|| 
тѣ[хъ]|| 
ест|| 
ц҃рство|| 
н҃бсное̄|| · 
Блажені|| 
е̄сте|| 
е̄гда|| 
поносѧтъ|| 
вамъ|| · ·:· 
ч҃лці|| 
ӣ|| ·· 
ӣжденѫтъ|| 
въі|| · 
ӣ|| 
рекѫтъ|| 
въсь|| 
ӡьль|| 
г҃лъ|| 
на|| 
въі|| 
лъжѧште|| 
мене|| 
раді|| · 
Радоуӣте|| 
сѧ|| 
ӣ|| 
веселите|| · 
ѣ̄ко|| 
мьӡда|| 
ваша|| 
мно̄га|| 
е̄стъ|| 
на|| 
н҃бсехъ|| ·· · - 
въи|| 
е̄сте|| 
свѣтъ|| 
въсемоу|| 
міроу|| · 
Не|| 
можетъ|| 
градъ|| 
о̄укръіті|| 
сѧ|| 
връхоу|| 
горъі|| 
стоѧ̄|| · 
Ни|| 
въжагаѭ̄тъ|| 
свѣтільніка|| · 
ӣ|| 
поставлѣѭ̄тъ|| 
подъ|| 
спѫдомъ|| · 
нъ|| 
на|| 
свѣщьніцѣ|| · 
ӣ|| 
свѣтітъ|| 
вьсѣмъ|| 
і̄же|| 
въ|| 
храминѣ|| 
сѫтъ|| · 
Тако|| 
да|| 
просвѣтітъ|| 
сѧ|| 
свѣтъ|| 
вашъ|| 
прѣдъ|| 
ч҃лкъі|| · 
да|| 
о̄уӡьрѧтъ|| 
ваша|| 
добраѣ|| 
дѣла|| · 
ӣ|| 
прославѧтъ|| 
о̄ц҃а|| 
вашего|| 
іже|| 
е̄стъ|| 
на|| 
н҃бсехъ|| · 
Не̄|| 
мьните|| 
ѣ̄ко|| 
придъ|| 
раӡоритъ|| 
ӡакона|| 
ли|| 
п҃рркъ|| · 
Не|| 
придъ|| 
раӡорітъ|| 
нъ|| 
ӣсплънитъ|| · 
А̄м̄інъ|| 
г҃лѭ|| 
вамъ|| · 
доӣдеже|| 
прѣидетъ|| 
н҃бо|| 
ӣ|| 
ӡемл҃ѣ|| · 
Пісм̄ѧ|| 
е̄діно|| · 
лі|| 
едіна|| 
чръта|| · 
не|| 
прѣӣдетъ|| · 
ъѡтъ|| 
ӡакона|| · 
доӣдеже|| 
вьсѣ|| 
бѫдѫтъ|| · 
І̄же|| 
бо|| 
раӡоритъ|| 
е̄динѫ|| 
ӡаповѣдіӣ|| 
сихъ|| 
малъіӣхъ|| · 
ӣ|| 
нао̄учитъ|| 
тако|| 
ч҃лкъі|| · 
мьнеӣ|| 
наречетъ|| 
сѧ|| 
въ|| 
ц҃рствѣ|| 
н҃бсьнѣмъ|| · ··̅ 
А|| 
і̄же|| 
ӣсплънітъ|| 
ӣ|| 
наоучитъ|| · 
сь|| 
велеӣ|| 
наречетъ|| 
сѧ|| 
въ|| 
ц҃рствѣ|| 
н҃бснѣмъ|| ·· · · - 
Просѧштоумоу|| 
о̄у|| 
тебе|| 
даӣ|| 
ӣ|| 
хотѧщаа̄го|| 
ӡаѧ̄ті|| 
не|| 
о̄тъвраті|| · 
Слъішасте|| 
ѣко|| 
речено|| ·:· 
е̄стъ|| · 
Въӡлюбі|| 
искнѣа̄го|| 
свое̄го|| · 
᾽и|| 
въӡненавіді̄|| 
в̄рага|| 
[с]во᾽его|| · 
А̄ӡь|| 
же|| 
г҃лѭ|| 
вамь|| · 
любите|| 
врагъи|| 
вашѧ|| · 
б҃лте|| 
клънѫштѧѧ|| 
въі|| · 
добро|| 
т̄воріте|| 
ненавідѧщиӣмъ|| 
вась|| · 
ӣ|| 
моліте|| 
ӡа|| 
творѧштѧ|| 
вамъ|| 
напасть|| · 
ӣ|| 
ӣӡгонѧштѧѧ̄|| 
въі|| · 
да|| 
бѫдете|| 
с҃нве҃|| 
о̄ц҃а|| 
вашего|| 
і̄же|| 
е̄стъ|| 
на|| 
н҃с҃хь|| · 
ѣ̄коже|| 
ӣ|| 
слънц̄е|| 
сво҃е̄|| 
сиѣе̄тъ|| 
на|| 
ӡьлъиѧ|| · 
ӣ|| 
на|| 
благъиѧ̄|| · 
ӣ|| 
дьждітъ|| 
на|| 
праведънъіѧ̄|| 
᾽и|| 
на|| 
неправедънъіѧ̄|| · 
ӣ|| 
а̄ште|| 
любіте|| 
любѧштѧѧ|| 
въі|| · 
кѫѭ̄|| 
мъӡдѫ|| 
имате|| · 
Не|| 
ӣ|| 
мъітарі|| 
лі|| 
тожде|| 
творѧтъ|| · 
ӣ|| 
᾽аште|| 
цѣлоуе̄те|| ·:· 
дроугъи|| 
вашѧ|| 
тькм̄о|| · 
чт̄о|| 
ліхо|| 
творите|| · 
не|| 
ӣ|| 
мъітарі|| 
ли|| 
такожде|| 
творѧтъ|| · 
бѫдѣте|| 
о̄убо|| ·:· 
въи|| 
съвръшени|| · 
ѣ̄коже|| 
ӣ|| 
᾽҃оць|| 
вашь|| 
н҃бснъі|| 
съвръшенъ|| 
е̄стъ|| ·· · - 
Вънемл҃ѣте|| 
м҃л҃стъінѧ|| 
вашѧ|| · 
Не|| 
творіте|| 
прѣд|| 
ч҃лкъі|| · 
да|| 
відімі|| 
бѫдете|| 
ӣмі|| · 
А̄ште|| 
лі|| 
же|| 
ні|| · 
мьӡдъі|| 
не|| 
ӣмате|| 
ѡ̄тъ|| 
о̄ц҃а|| 
вашего|| 
і̄же|| 
е̄стъ|| 
на|| 
н҃бсх|| · 
Е̄гда|| 
о̄убо|| 
творите|| 
мілостъінѭ|| · 
не|| 
въстрѫбіте|| 
прѣдъ|| 
собоѭ̄|| · 
ѣ̄коже|| 
ӣ|| 
ѹ̄покріті|| 
творѧтъ|| · 
въ|| 
сьньміщиӣхъ|| · 
да|| 
прославѧтъ|| 
сѧ|| 
ѡт҃|| 
ч҃кь|| · 
А̄мін҃|| 
г҃лѭ|| 
вам|| · 
въспріӣмѫтъ|| 
мъӡдѫ|| 
сво҃ѭ̄|| · 
Тебѣ|| 
же|| 
тво҃рѧщоу|| 
мілостъінѭ|| · 
да|| 
не|| 
чюе̄тъ|| 
шюӣца|| · 
чьто|| 
творітъ|| 
десніца|| 
твоѣ̄|| · 
да|| 
бѫдетъ|| 
милостъіні|| 
тво҃ѣ̄|| 
въ|| 
таӣнѣ|| · 
῾И|| 
᾽҃оць|| 
твоӣ|| 
відѧӣ|| 
тѧ|| 
въ|| 
та᾽инѣ|| · 
въӡдастъ|| 
тебѣ|| 
ѣ̄вѣ|| · 
Ӣ|| 
е̄гда|| 
м҃л҃иші|| 
сѧ|| · 
не|| 
бѫді|| 
ѣ̄ко|| 
ӣ|| 
ліцемѣрі|| · 
ѣ̄ко|| 
ті|| 
любѧтъ|| 
на|| 
сьньмиштиӣхъ|| 
ӣ|| 
въ|| 
стьгнахъ|| · 
ӣ|| 
на|| 
распѫтіӣх|| 
стоѧ̄ште|| 
молиті|| 
сѧ|| · 
да|| 
ѣ̄вѧтъ|| 
сѧ|| 
ч҃лкомъ|| · 
῾Амін҃|| 
г҃лѭ|| 
вам|| · 
въсприӣмѫт|| 
мъӡдѫ|| 
своѭ̆|| · 
Тъі|| 
же|| 
е̄гда|| 
моліші|| 
сѧ|| · 
въниді|| 
въ|| 
клѣть|| 
твоѭ̄|| · 
ӣ|| 
ӡатворі|| 
дв̄ьрі|| 
твоѧ̄|| · 
ӣ|| 
помолі|| 
сѧ|| 
о̄ц҃ю|| 
твое̄моу|| 
въ|| 
таӣнѣ|| · 
ӣ|| 
о̄ц҃ь|| 
твоӣ|| 
видѧӣ|| 
тѧ|| 
въ|| 
таӣнѣ|| · 
въӡдастъ|| 
тебѣ|| 
ѣ̄в̄ѣ|| · 
М҃л҃те|| 
же|| 
сѧ|| 
ӣ|| 
не|| 
ліхо|| 
г҃літе|| · 
ѣ̄ко|| 
ӣ|| 
ѧ̄ӡъичьници|| · 
Мьнѧтъ|| 
бо|| 
сѧ|| · 
ѣ̄ко|| 
вь|| 
мн̄оѕѣ|| 
г҃ланіӣ|| 
своемъ|| 
о̄услъишані|| 
бѫдѫт|| · 
Не|| 
подобіте|| 
сѧ|| 
о̄убо|| 
ӣмъ|| · 
Вѣстъ|| 
бо|| 
о̄ц҃ь|| 
ваш҃|| 
ӣхъже|| 
трѣбоуе̄те|| · 
прѣжде|| 
прошениѣ̄|| 
вашего|| · 
Сіце|| 
же|| 
моліте|| 
сѧ|| · 
᾽̄Ѡ҃че|| 
нашъ|| 
і̄же|| 
е̄сі|| 
на|| 
н҃бсі|| · 
Да|| 
с҃тітъ|| 
сѧ|| 
ӣмѧ|| 
твое̄|| · 
да|| 
прідетъ|| 
ц҃рство|| 
тво҃е̄|| · 
да|| 
бѫдет|| 
волѣ|| 
твоѣ|| · 
[ѣ]ко|| 
на|| 
н҃бсі|| 
ӣ|| 
на|| 
ӡемі|| · 
Хлѣбь|| 
нашь|| 
насѫщьнъі|| 
даждъ|| 
намъ|| 
дьнес|| · 
ӣ|| 
о̄стави|| 
нам|| 
длъгъі|| 
нашѧ|| · 
Ѣ̄ко|| 
ӣ|| 
мъи|| 
о̄ставлѣемъ|| 
длъжьникомъ|| 
нашімъ|| · 
Ӣ|| 
не|| 
вьведі|| 
насъ|| 
въ|| 
ӣскоушение̄|| · 
нъ|| 
ӣӡбаві|| 
нъи|| 
ѡт҃|| 
лѫкаваа̄го|| · 
Ѣ̄ко|| 
твое̄|| 
е̄сть|| 
ц҃рство|| · 
ӣ|| 
сіла|| 
ӣ|| 
слав҃|| 
в|| 
в̄̄ѣкъи|| 
Амин҃|| ·· · - 
А̄ще|| 
ѡт҃поустіте|| 
ч҃҃лкмъ|| 
съгрѣшениѣ̄|| 
ӣх|| · 
Ѡт̄ъ̄поуститъ|| 
ӣ|| 
вамъ|| 
᾽҃оць|| 
вашъ|| 
н҃бсънъи|| · 
Аще|| 
лі|| 
не|| 
о̄тъпоустіте|| 
ч҃҃лкмъ|| 
съгрѣшениӣ|| 
ӣхъ|| · 
ні|| 
о̄ц҃ь|| 
вашъ|| 
н҃бснъи|| · 
᾽отъпоуститъ|| 
вамъ|| 
съгрѣшеніӣ|| 
вашіх|| · 
Е̄гда|| 
же|| 
постите|| 
сѧ|| · 
Не|| 
бѫдѣте|| 
ѣ̄ко|| 
о̄упокръіті|| 
сѣтоу᾽ѭще|| · 
просм̄раждаѭ̄тъ|| 
бо|| 
ліца|| 
своѣ|| · 
да|| 
Сѧбѫ|| 
а̄віли|| 
ч҃комъ|| 
постѧще|| · 
Амин҃|| 
г҃лѭ|| 
вам|| · 
ѣ̄ко|| 
въсприӣмѫтъ|| 
мьӡдѫ|| 
своѭ̄|| · 
Тъи|| 
же|| 
постѧ|| 
сѧ|| 
помажи|| 
главѫ|| 
своѭ̄|| · 
ӣ|| 
ліце|| 
свое̄|| 
о̄умъіӣ|| · 
да|| 
не|| 
а̄виші|| 
сѧ|| 
ч҃҃лкмъ|| 
постѧ|| · 
нъ|| 
о̄ц҃ю|| 
твое̄моу|| 
і̄же|| 
е̄стъ|| 
въ|| 
та᾽инѣ|| · 
ӣ|| 
о̄ц҃ь|| 
твоӣ|| · 
відѧӣ|| 
тѧ|| 
въ|| 
таӣнѣ|| · 
въӡдасть|| 
тебѣ|| 
а̄вѣ|| · 
Не|| 
ськръіваӣте|| 
себѣ|| 
съкровиштъ|| 
на|| 
ӡеми|| · 
᾽идеже|| 
чръвь|| 
ӣ|| 
тьлѣ|| 
тьліть|| · 
ӣдеже|| 
татие̄|| 
подъкопаваѭ̄тъ|| 
᾽и|| 
крадѫт|| · 
Съкръіваӣте|| 
же|| 
себѣ|| 
съкров[и]шта|| 
на|| 
н҃бси|| · 
ӣдеже|| 
ни|| 
чръвъ|| · 
ни|| 
тьлѣ|| 
тьлитъ|| · 
ӣдеже|| 
татіе̄|| 
не|| 
подъкопаваѭ̄тъ|| 
ни|| 
крадѫтъ|| · 
Ӣдеже|| 
бо|| 
е̄стъ|| 
съкровіще|| 
ваше|| · 
тоу|| 
ӣ|| 
с҃рьдце|| 
ваше|| ·· - 
Свѣтільнікь|| 
тѣлоу|| 
е̄стъ|| 
᾽око|| · 
а̄ще|| 
о̄убо|| 
бѫдетъ|| 
око|| 
твое̄|| 
просто|| · 
все|| 
тѣло|| 
тво᾽е|| 
свѣтъло|| 
бѫдетъ|| · 
а̄ще|| 
лі|| 
о̄ко|| 
твое̄|| 
лѫкаво|| 
бѫдетъ|| · 
вьсе|| 
тѣло|| 
твое̄|| 
темно̄|| 
бѫдетъ|| · 
А̄ще|| 
о̄убо|| 
свѣтъ|| 
і̄же|| 
въ|| 
тебѣ|| 
тъма|| 
е̄стъ|| · 
то|| 
тьма|| 
кольми|| · 
Никотоже|| 
бо|| 
рабъ|| 
не|| 
можетъ|| 
дьвѣма|| 
г҃дінома|| 
работаті|| · 
любо|| 
е̄діного|| 
въӡненавідіт|| · 
а̄|| 
дроугаа̄го|| 
въӡлюбітъ|| · 
ли|| 
е̄діного|| 
дръжіт|| 
с̄ѧ|| · 
а̄|| 
о̄|| 
дроуѕѣа̄мъ|| 
не|| 
брѣщи|| 
вьчьнетъ|| · 
Не|| 
мо[же]те|| 
б҃оу|| 
работаті|| 
ӣ|| 
мамонѣ|| · 
Сего|| 
раді|| 
г҃лѭ|| 
вамъ|| · 
Не|| 
пьцѣте|| 
сѧ|| 
д҃шеѭ̄|| 
{д҃шеѭ̄}|| 
вашеѭ̄|| · 
чьто|| 
ѣ̄сте|| 
ли|| 
чт̄о|| 
піе̄те|| · 
ні|| 
тѣломъ|| 
вашим|| 
въ|| 
чт̄о|| 
о̄блѣ҃чете|| 
сѧ|| · 
Не|| 
д҃ша|| 
лі|| 
больші|| 
е̄стъ|| 
піштѧ|| · 
ӣ|| 
тѣло|| 
о̄деждѧ|| · 
Въӡьріте|| 
на|| 
пт̄іцѧ|| 
н҃бснъиѧ̄|| · 
ѣ̄ко|| 
не|| 
сѣѭ̄тъ|| 
ни|| 
жьнѭтъ|| · 
ни|| 
събираѭ̄тъ|| 
въ|| 
жітьницѫ|| · 
ӣ|| 
о̄ц҃ь|| 
вашъ|| 
н҃бснъи|| 
питѣе̄тъ|| 
ѧ̄|| · 
Не|| 
въи|| 
лі|| 
паче|| 
лоучьшіӣ|| 
ӣхъ|| 
е̄ст̄е|| · 
кт̄о|| 
же|| 
от҃|| 
васъ|| 
пекъі|| 
сѧ|| · 
может|| 
приложіті|| 
тѣлесі|| 
свое̄моу|| · 
лакоть|| 
е̄дінъ|| · 
ӣ|| 
о̄|| 
о̄дежді|| 
чт̄о|| 
печете|| 
сѧ|| · 
Съмотрите|| 
крінъ|| 
селънъиӣхъ|| · 
како|| 
растѫтъ|| · 
ни|| 
троуждаѭ̄тъ|| 
сѧ|| 
ни|| 
прѧдѫт|| · 
г҃лѭ|| 
же|| 
вамъ|| · 
ѣ̄ко|| 
ни|| 
соломон|| · 
въсеӣ|| 
славѣ|| 
свое̄ӣ|| ·:· 
облѣче|| 
сѧ|| · 
ѣ̄ко|| 
е̄дінъ|| 
от҃|| 
сіхъ|| · 
А̄ще|| 
же|| 
сѣно|| 
дьнесь|| 
сѫщее̄|| · ·:· 
а|| 
о̄утрѣ|| 
въ|| 
о̄гнъ|| 
въмѣта᾽емо|| · 
б҃ъ|| 
тако[|| 
о]дѣе̄тъ|| · 
колмі|| 
паче|| 
васъ|| 
маловѣрі|| · 
не|| 
пьцѣте|| 
сѧ|| 
оу̑бо|| 
г҃лще|| · 
чт̄о|| 
ѣ̄мъ|| 
лі|| 
чт̄о|| 
піе̄мъ|| · 
лі|| 
чімъ|| 
о̄деждемъ|| 
сѧ|| · 
Вс̄ѣхъ|| 
бо|| 
сіхъ|| 
ѧ̄ӡ҃ци|| 
ӣщѫтъ|| · 
Вѣстъ|| 
бо|| 
о҃ць|| 
вашь|| 
н҃бснъӣ|| · 
ѣ̄ко|| 
трѣбоуе̄те|| 
сих|| · 
вс̄ѣхъ|| · 
᾽ищѣте|| 
же|| ·:· 
прѣжде̅|| 
ц҃рства|| 
{҃н}бжіѣ̄|| · 
{го}|| · 
и|| 
правъдъи|| 
е̄го|| · 
ӣ|| 
сиӣ|| 
всѣ̄|| 
приложѧтъ|| 
сѧ|| 
вам|| ·· - 
Не|| 
о̄сѫждаӣте|| · 
да|| 
не|| 
осѫждени|| 
бѫдете|| · 
ӣмьже|| 
бо|| 
сѫдомъ|| 
сѫдите|| 
сѫдѧтъ|| 
вамъ|| · 
и|| 
въ|| 
нѭ̄же|| 
мѣрѫ|| 
мѣріте|| · 
въӡмѣрѧтъ|| 
вамъ|| · 
чьто|| 
же|| 
відіші|| 
сѫчець|| 
въ|| 
о̄чесі|| 
брата|| 
твое̄го|| · 
а̄|| 
бръвъна|| 
е̄же|| 
е̄сть|| 
въ|| 
о̄цѣ|| 
твое̄мъ|| 
не|| 
чюе̄ші|| · 
῾И|| 
како|| 
речеші|| 
братоу|| 
твое̄моу|| · 
о̄ставі|| 
да|| 
ӣӡьмѫ|| 
сѫч̄ець|| 
ӣӡъ|| 
очесе|| 
твое̄го|| · 
ӣ|| 
се|| 
бръвъно|| 
въ|| 
очесі|| 
тво᾽емъ|| · 
лицемѣре|| · 
Ӣӡьми|| 
пръвѣе̄|| 
бръвъно|| 
ӣӡъ|| 
о̄ка|| 
твое̄го|| · 
ӣ|| 
тогда|| 
о̄уӡъриші|| 
ӣӡѧті|| 
сѫчецъ|| 
ӣӡь|| 
о̄чесе|| 
бра[та|| 
]твое̄го|| · 
Не|| 
дадіте|| 
с҃таа̄го|| 
пс̄омъ|| · 
Ни|| 
пометаӣте|| 
бисерь|| 
вашихъ|| 
прѣдъ|| 
свиниѣмі|| · 
да|| 
не|| 
поперѫтъ|| 
ӣхъ|| 
ногамі|| 
своӣмі|| · 
ӣ|| 
въӡвращьше|| 
сѧ|| 
растръгн̄ѫтъ|| 
въі|| · 
Просіте|| 
ӣ|| 
дастъ|| 
сѧ|| 
вамъ|| · 
ӣщѣте|| 
ӣ|| 
о̄брѧщете|| · 
᾽тльцѣте|| 
ӣ|| 
о̄твръӡетъ|| 
сѧ|| 
вамъ|| · 
въсѣкъ|| 
бо|| 
просѧи|| 
пріе̄мл҃᾽етъ|| · 
ӣ|| 
ӣщѧӣ|| 
о̄брѣтае̄тъ|| · 
ӣ|| 
тлъкѫщоумоу|| 
о̄твръӡѫт҃|| 
сѧ|| ·· - 
Вьсѣ|| 
е̄ліко|| 
хоштете|| 
да|| 
творѧтъ|| 
вамъ|| 
ч҃лци|| · 
ӣ|| 
въи|| 
творите|| 
ӣмъ|| 
такожд̄е|| · 
Се|| 
бо|| 
е̄стъ|| · ·:· 
ӡаконъ|| 
ӣ|| 
п҃ррци|| · 
вънидѣте|| · 
ѫ̄ӡькъіӣми|| 
вратъі|| · 
ѣ̄ко|| 
пространаа̄|| 
врата|| · 
ӣ|| 
шірокь|| 
пѫть|| · 
въводѧӣ|| 
вь|| 
пагоубѫ|| · 
Ӣ|| 
мно̄ѕі|| 
сѫтъ|| 
въходѧшті|| 
ӣмъ|| · 
Коль|| 
ѫ̄ӡька|| 
врата|| · 
ӣ|| 
тѣсенъ|| 
пѫть|| ·:· 
въводѧӣ|| 
въ|| 
жівотъ|| · 
ӣ|| 
мало|| 
ӣхъ|| 
е̄стъ|| · 
і̄же|| 
ӣ|| 
о̄брѣтаѭ̄тъ|| · 
Вънемл҃{л}ѣте|·:· | 
о̄тъ|| 
лъжиӣхъ|| 
п҃рркъ|| · 
᾽іже|| 
приходѧтъ|| 
кь|| 
вамъ|| · 
Въ|| 
о̄деждахъ|| 
о̄вьчиӣхъ|| · 
Вънѫтрьѭ̄доу|| 
же|| 
сѫтъ|| 
влъци|| 
ӣ|| 
хъиштьниці|| · 
῾Ѡ̄тъ|| 
плода|| 
ӣхъ|| ·:· 
поӡнаите|| 
ѧ̄|| · 
Е̄да|| 
о̄бье̄мл҃етъ|| 
кьто|| 
ѡт҃|| 
тръніѣ|| 
гроӡдъі|| · 
Ли|| 
от҃|| 
трівола|| 
с᾽мокьві|| · 
Тако|| 
ӣ|| 
вьсе|| 
дрѣво|| 
доброе̄|| · 
добръи|| 
плодъ|| 
творітъ|| · 
А̄|| 
ӡьлое̄|| 
дрѣво|| · 
ӡьлъіӣ|| 
плодъ|| 
творитъ|| · 
Не|| 
можетъ|| 
дрѣво|| 
добро|| · 
плода|| 
ӡьла|| 
творі{твори}ті|| · 
Ні|| 
дрѣво|| 
ӡьло|| · 
плода|| 
добра|| 
творіті|| · 
Всѣко|| 
дрѣво|| 
е̄же|| 
не|| 
творитъ|| 
плода|| 
добра|| · 
покаѭ̄тъ|| ·:· 
е̄|| · 
Тѣмъ|| 
же|| 
о̄убо|| 
от҃{т}ъ|| 
плода|| 
ӣхъ|| · 
поӡна᾽ете|| 
ѧ̄|| · 
Не|| 
вьсѣкь|| 
г҃лѧи|| 
мн̄ѣ|| · 
Г҃и|| 
г҃и|| 
не|| 
вънидет|| 
въ|| 
ц҃рство|| 
н҃бсное̄|| · 
Нъ|| 
творѧӣ|| 
волѭ|| 
о̄ц҃а|| 
мое̄го|| · 
᾽іже|| 
е̄сть|| 
на|| 
н҃бсхъ|| ·· ·· - 
Всѣкъ|| 
і̄же|| 
слъишіт|| · 
словеса|| 
моѣ̄|| 
си|| · 
ӣ|| 
творітъ|| 
ѣ̄|| · 
о̄уподоблѭ̄|| 
ӣ|| 
мѫжю|| 
мѫдроу|| · 
і̄же|| 
съӡьда|| 
храмінѫ|| 
своѭ̄|| 
на|| 
камене|| · 
Ӣ|| 
съниде|| 
дьждъ|| 
ӣ|| 
придѫ|| 
рѣкъі|| · 
ӣ|| 
въӡвѣа̄шѧ|| 
вѣтри|| · 
ӣ|| 
нападѫ|| 
на|| 
храмінѫ|| 
тѫ|| · 
Ӣ|| 
не|| 
паде|| 
сѧ|| · 
о̄снована|| 
бо|| 
бѣ|| 
на|| 
камене|| · 
Ӣ|| 
вс̄ѣкь|| 
і̄же|| 
слъишитъ|| 
словеса|| 
моѣ̄|| 
си|| · 
ӣ|| 
не|| 
творітъ|| 
ӣх̄|| · 
о̄уподоблѭ|| 
и|| 
мѫжю|| 
боую̄|| · 
῾Іже|| 
сьӡьда|| 
храминѫ|| 
своѭ̀|| 
на|| 
пѣсьцѣ|| · 
Ӣ|| 
сьниде[|| 
дь]ждь|| 
ӣ|| 
прідѫ|| 
рѣкъі|| · 
ӣ|| 
въӡвѣа̄шѧ|| 
вѣтри|| · 
ӣ|| 
о̄пьрѣшѧ|| 
сѧ|| 
храминѣ|| 
тоӣ|| 
ӣ|| 
паде|| 
сѧ|| · 
ӣ|| 
бѣ|| 
раӡдроушение̄|| 
е̄ѧ̄|| 
веліе̄|| 
ѕѣло|| · 
Ѝ|| 
бъис҃|| 
вънегда|| 
ськонча̄|| 
и҃с|| 
всѣ|| 
словеса|| 
сіӣ|| · 
Дивлѣа̄хѫ|| 
сѧ|| 
народі|| ·:· · 
о̄|| 
о̄учениӣ|| 
е̄го|| · 
Бѣ|| 
бо|| 
о̄учѧ|| 
᾽ѧ|| · 
ѣ̄ко|| 
властъ|| 
ӣмъи|| · 
ӣ|| 
не|| 
ѣ̄ко|| 
кьнижьниці|| 
ӣхь|| · 
ӣ|| 
фарісеӣ|| · 
съшедъшю|·:· | 
же|| 
е̄моу|| 
съ|| 
горъи|| · 
въ|| 
слѣдъ|| 
е̄го|| 
᾽идѫ|| 
народи|| 
мн̄оѕі|| · 
῾И|| 
се|| 
прокаженъ|| 
прістѫпль|| · 
кланѣа̄ше|| 
сѧ|| 
е̄моу|| 
г҃лѧ|| · 
Г҃и|| 
а̄ще|| 
хощеші|| 
можеші|| 
мѧ|| 
ӣчіститі|| · 
᾽и|| 
простърѣ|| 
рѫкѫ|| 
ӣс҃ъ|| · 
ӣ|| 
коснѫ|| 
ӣ|| 
г҃лѧ|| · 
Хоштѫ|| 
ӣчисті|| 
сѧ|| · 
ӣ|| 
а̄бие̄|| 
ӣӡчісти|| 
сѧ|| 
о̄тъ|| 
прокаӡъи|| · 
Ӣ|| 
рече|| 
е̄моу|| 
ӣс҃ъ|| · 
вижд̄ъ|| · 
никомоуже|| 
не|| 
повѣждъ|| · 
нъ|| 
шедъ|| 
покажи|| 
сѧ|| ·:· 
а̄рхие̄рео̄ви|| · 
ӣ|| 
принеси|| 
даръ|| · 
е̄же|| 
повелѣ|| 
мосіӣ|| · 
въ|| 
сьвѣдѣние̄|| 
ӣмъ|| ·· · - 
Въшедъшоу|| 
ӣс҃оу|| 
въ|| 
капернао̄умъ|| · 
Прістѫпи|| 
кь|| 
немоу|| 
сьтьникь|| · 
мо҃лѧ|| 
ӣ|| 
ӣ|| 
г҃лѧ|| · 
Г҃і|| 
о̄трокъ|| 
моӣ|| 
лежітъ|| 
въ|| 
домоу|| 
мое̄мъ|| 
о̄слабленъ|| · 
лютѣ|| 
ѣ̄ко|| 
страждѧ|| · 
г҃ла|| 
е̄моу|| 
ӣс҃ъ|| 
А̄ӡь|| 
прішедъ|| 
ӣцѣл᾽ѭ|| 
ӣ|| · 
ӣ|| 
о̄тъвѣщавъ|| 
сьтьникь|| 
рече|| 
е̄моу|| 
г҃и|| · 
Нѣсмъ|| 
достоӣнъ|| 
да|| 
въ|| 
домъ|| 
моӣ|| 
вънідеші|| · 
нъ|| 
тъкьмо|| 
рьці|| 
словомъ|| · 
ӣ|| 
ӣцѣлѣе̄тъ|| 
о̄трок|| 
моӣ|| · 
ӣбо|| 
а̄ӡъ|| 
ч҃къ|| 
е̄с᾽мъ|| 
подъ|| 
в҃лдкоѭ̄|| · 
ӣмъі|| 
подъ|| 
собоѭ̄|| 
воӣнъі|| · 
Ӣ|| 
г҃лѭ|| 
семоу|| 
᾽иді|| · 
ӣ|| 
ӣдетъ|| · 
ӣ|| 
дроугоумоу|| 
пріді|| 
ӣ|| 
придет҃|| · 
ӣ|| 
рабоу|| 
мое̄моу|| · 
сътворі|| 
